sound_id,sound_path,volume_db,min_pitch,max_pitch,cooldown,group,description,start_time,end_time,enabled
-1,音效文件路径,音量(dB),最小音调,最大音调,冷却时间(秒),音效组,描述,起始时间(秒),截止时间(秒),是否启用
wave_start,res://assets/audio/environment/wave_start.wav,0,1.0,1.0,1.0,,波次开始,0.0,0.0,1
wave_complete,res://assets/audio/environment/wave_complete.wav,0,1.0,1.0,1.0,,波次完成,0.0,0.0,1
shop_open,res://assets/audio/environment/shop_open.wav,-3,1.0,1.0,0.5,,商店开启,0.0,0.0,1
shop_close,res://assets/audio/environment/shop_close.wav,-3,1.0,1.0,0.5,,商店关闭,0.0,0.0,1
chest_spawn,res://assets/audio/environment/chest_spawn.wav,0,1.0,1.0,0.5,,宝箱出现,0.0,0.0,1
chest_open,res://assets/audio/environment/chest_open.wav,0,0.95,1.05,0.3,,宝箱打开,0.0,0.0,1
game_over,res://assets/audio/environment/game_over.wav,2,1.0,1.0,2.0,,游戏结束,0.0,0.0,1
player_hurt,res://assets/audio/player/hurt.wav,-5,0.8,1.2,0.1,,玩家受击,0.0,0.0,1
player_armor_break,res://assets/audio/player/armor_break.wav,0,1.0,1.0,0.2,,护甲破碎,0.0,0.0,1
player_death,res://assets/audio/glass_shatter.wav,5,1.0,1.0,0,,玩家死亡,0.0,0.0,1
player_dash,res://assets/audio/dash.wav,-2,1.0,1.0,0,,玩家冲刺,0.0,0.0,1
player_energy_gain,res://assets/audio/player/energy_gain.wav,-8,0.9,1.2,0.05,,能量获取,0.0,0.0,1
player_energy_low,res://assets/audio/player/energy_low.wav,-3,1.0,1.0,0.5,,能量不足,0.0,0.0,1
player_level_up,res://assets/audio/player/level_up.wav,2,1.0,1.0,1.0,,升级,0.0,0.0,1
gold_pickup,res://assets/audio/player/gold_pickup.wav,-8,0.8,1.3,0.02,,金币拾取,0.0,0.0,1
char_switch_success,res://assets/audio/player/switch_success.wav,0,0.95,1.05,0.3,,角色切换成功,0.0,0.0,1
char_switch_fail,res://assets/audio/player/switch_fail.wav,-5,1.0,1.0,0.3,,角色切换失败,0.0,0.0,1
super_armor_trigger,res://assets/audio/player/super_armor.wav,0,1.0,1.0,0.3,,超级护甲触发,0.0,0.0,1
bond_trigger_generic,res://assets/audio/environment/bond_generic.wav,-5,0.9,1.1,0.2,,羁绊触发(通用),0.0,0.0,1
bond_chain_reaction,res://assets/audio/environment/bond_chain.wav,0,0.9,1.1,0.3,,连锁反应,0.0,0.0,1
bond_permanent_cage,res://assets/audio/environment/bond_cage.wav,0,1.0,1.0,0.3,,永久牢笼,0.0,0.0,1
bond_soul_attach,res://assets/audio/environment/bond_soul.wav,-3,0.9,1.1,0.3,,灵魂附着,0.0,0.0,1
bond_gold_trail,res://assets/audio/environment/bond_gold.wav,-8,0.9,1.2,0.1,,金币轨迹,0.0,0.0,1
bond_thorns_wall,res://assets/audio/environment/bond_thorns.wav,-3,0.9,1.1,0.2,,反伤墙,0.0,0.0,1
bond_small_shape_crit,res://assets/audio/environment/bond_crit.wav,0,0.9,1.1,0.1,,小图形暴击,0.0,0.0,1
