enemy_id,phase,trigger_hp_ratio,speed_multiplier,damage_multiplier,spawn_budget_multiplier,event_tag,description
-1,敌人ID,阶段编号,进入该阶段的血量比例阈值,移速倍率,伤害倍率,导演预算倍率,阶段事件标签,阶段说明
boss_enemy,1,1.00,1.00,1.00,1.00,teach,Teaching phase
boss_enemy,2,0.70,1.15,1.20,1.10,summon_zone,Pressure with summon and area denial
boss_enemy,3,0.35,1.30,1.35,1.25,finisher,Short high pressure finish window
abyssal_broodmother,1,1.00,1.00,1.00,1.00,brood,群聚压场
abyssal_broodmother,2,0.68,1.12,1.18,1.10,devour,吞噬提速
abyssal_broodmother,3,0.32,1.26,1.32,1.22,frenzy,残血狂潮
euclidean_shadow,1,1.00,1.00,1.00,1.00,survey,空间观测
euclidean_shadow,2,0.72,1.18,1.20,1.12,cut,切割封锁
euclidean_shadow,3,0.38,1.34,1.36,1.26,invert,闭合反转
fortress_titan,1,1.00,1.00,1.00,1.00,fortify,装甲展开
fortress_titan,2,0.66,1.08,1.24,1.14,barrage,火力压制
fortress_titan,3,0.30,1.18,1.46,1.30,last_stand,终局推进
