enemy_id,ability_id,cooldown,min_distance,max_distance,health_threshold,auto_activate,param1,param2,param3,param4,param5,param6
-1,enemy_id,ability_id,cooldown,min_distance,max_distance,health_threshold,auto_activate,param1,param2,param3,param4,param5,param6
# poison_pool: pool_radius, pool_damage, pool_damage_interval, pool_lifetime
mine_layer_enemy,poison_pool,0,0,999999,0,1,60,5,0.5,8,,
# shooting: projectile_count, arc_angle, projectile_speed, projectile_damage_mult
shielded_enemy,shooting,3.0,0,300,0,1,3,45,1800,0.5,,
# charge: prep_time, charge_duration, speed_multiplier, warning_line_width
spiked_enemy,charge,3.0,100,300,0,1,0.8,0.6,3.5,30,,
breaker_enemy,charge,3.0,100,300,0,1,0.8,0.6,3.5,30,,
# split_on_death: split_count
fractal_slime,split_on_death,0,0,999999,0,1,3,,,,,
# explode_on_death: damage, radius
volatile_spark,explode_on_death,0,0,999999,0,1,20,80,,,,
