enemy_id,display_name,health,speed,damage,attack_range,attack_cooldown,xp_value,gold_value,knockback_resistance,energy_drop,color_r,color_g,color_b,flock_push,stop_distance,charge_prep_time,charge_duration,charge_speed_mult,charge_cooldown,break_radius,can_charge,shoot_cooldown,projectile_count,projectile_arc_angle,projectile_speed,pool_radius,pool_damage,pool_damage_interval,pool_lifetime,role,cost,behavior_params
-1,显示名,生命值,移动速度,攻击力,攻击范围,攻击冷却,经验值,金币值,击退抗性,能量掉落,颜色R,颜色G,颜色B,群聚推力,停止距离,冲锋预备时间,冲锋持续时间,冲锋速度倍率,冲锋冷却,破线半径,是否冲锋,射击冷却,投射物数量,投射物弧角,投射物速度,毒池半径,毒池伤害,毒池伤害间隔,毒池生命周期,导演角色,导演成本,行为参数
basic_enemy,基础敌人,110,158,12,50,1,10,5,0.5,2,0.5,1,0.5,20,60,0.8,0.6,3.5,3,40,0,3,3,45,1800,60,5,0.5,8,runner,1.0,"{""kite"":0}"
slow_enemy,缓速敌人,132,126,9,50,1,12,6,0.4,2,0.5,1,0.5,20,60,0.8,0.6,3.5,3,40,0,3,3,45,1800,60,5,0.5,8,bruiser,2.0,"{""armor_style"":""steady""}"
fast_enemy,快速敌人,55,315,6,40,0.5,15,8,0.3,2,0.5,1,0.5,20,60,0.8,0.6,3.5,3,40,0,3,3,45,1800,60,5,0.5,8,runner,1.0,"{""sprint"":1}"
breaker_enemy,剪刀手,88,210,14,45,0.8,18,10,0.5,2,1,0.5,0.5,20,60,0.8,0.6,3.5,3,40,1,3,3,45,1800,60,5,0.5,8,charger,3.0,"{""line_breaker"":1}"
shielded_enemy,硬壳龟,165,105,7,50,1.5,20,12,0.8,2,0.5,0.8,1,20,60,0.8,0.6,3.5,3,40,0,2.5,3,45,1800,60,5,0.5,8,protector,3.0,"{""projectile_deflect"":0.3}"
spiked_enemy,刺猬,110,158,17,50,1,25,15,0.6,2,1,0.2,0.2,20,60,0.8,0.6,3.5,3,40,1,3,3,45,1800,60,5,0.5,8,charger,3.0,"{""charge"":1}"
mine_layer_enemy,地雷怪,88,126,9,45,1.2,12,6,0.4,3,0.5,1,0.5,20,60,0.8,0.6,3.5,3,40,0,3,3,45,1800,80,8,0.5,10,denier,2.0,"{""pool_radius"":80}"
tank_enemy,坦克敌人,495,105,34,60,2,30,15,0.9,4,0.5,1,0.5,20,60,0.8,0.6,3.5,3,40,0,3,3,45,1800,60,5,0.5,8,protector,4.0,"{""front_guard"":1}"
boss_enemy,Boss敌人,1100,126,80,80,1.5,100,50,1,8,0.5,1,0.5,20,60,0.8,0.6,3.5,3,40,0,3,3,45,1800,60,5,0.5,8,denier,8.0,"{""boss"":1}"
enemy_glutton,吞噬者,1100,126,80,50,1,50,10,0.5,8,1,0.8,0.2,20,60,0.8,0.6,3.5,3,40,0,3,3,45,1800,60,5,0.5,8,denier,8.0,"{""boss"":1}"
saw_enemy,锯头怪,165,189,17,50,1.0,15,8,0.5,2,1.0,1.0,1.0,20.0,60.0,0.8,0.6,3.5,3,40,0,3,3,45,1800,60,5,0.5,8,shooter,3.0,"{""projectile"":""saw""}"
steel_enemy,钢头怪,385,189,17,50,1.0,15,8,0.5,2,1.0,1.0,1.0,20.0,60.0,0.8,0.6,3.5,3,40,0,3,3,45,1800,60,5,0.5,8,bruiser,4.0,"{""armor"":0.35}"
