enemy_id,role,cost,hp,speed,damage,behavior_params
-1,职业,预算消耗,生命值,移动速度,伤害,行为参数JSON
basic_enemy,runner,1.0,72,150,6,"{""kite"":0}"
slow_enemy,bruiser,2.0,96,122,5,"{""armor_style"":""steady""}"
fast_enemy,runner,1.0,42,298,4,"{""sprint"":1}"
breaker_enemy,charger,3.0,64,202,8,"{""line_breaker"":1}"
shielded_enemy,protector,3.0,130,102,6,"{""projectile_deflect"":0.3}"
spiked_enemy,charger,3.0,90,152,11,"{""charge"":1}"
mine_layer_enemy,denier,2.0,70,122,6,"{""pool_radius"":80}"
saw_enemy,shooter,3.0,120,178,12,"{""projectile"":""saw""}"
steel_enemy,bruiser,4.0,260,172,14,"{""armor"":0.35}"
tank_enemy,protector,4.0,380,98,24,"{""front_guard"":1}"
boss_enemy,denier,8.0,900,120,55,"{""boss"":1}"
