enemy_id,sprite_path,scale_x,scale_y,color_r,color_g,color_b,color_a,z_index,offset_x,offset_y,collision_radius,hitbox_width,hitbox_height,animation_speed,flash_color_r,flash_color_g,flash_color_b
-1,sprite_path,scale_x,scale_y,color_r,color_g,color_b,color_a,z_index,offset_x,offset_y,collision_radius,hitbox_width,hitbox_height,animation_speed,flash_color_r,flash_color_g,flash_color_b
basic_enemy,res://assets/sprites/Enemies/Enemy_1.png,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,20,40,40,1.0,1.0,1.0,1.0
slow_enemy,res://assets/sprites/Enemies/Enemy_1.png,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,20,40,40,1.0,1.0,1.0,1.0
fast_enemy,res://assets/sprites/Enemies/Enemy_2.png,0.8,0.8,1.0,1.0,1.0,1.0,0,0,0,16,32,32,1.2,1.0,1.0,1.0
breaker_enemy,res://assets/sprites/Enemies/Enemy_3.png,1.2,1.2,1.0,0.5,0.5,1.0,0,0,0,24,48,48,1.0,1.0,1.0,1.0
shielded_enemy,res://assets/sprites/Enemies/Enemy_4.png,1.0,1.0,0.5,0.8,1.0,1.0,0,0,0,20,40,40,1.0,1.0,1.0,1.0
spiked_enemy,res://assets/sprites/Enemies/Enemy_5.png,1.0,1.0,1.0,0.2,0.2,1.0,0,0,0,20,40,40,1.0,1.0,1.0,1.0
mine_layer_enemy,res://assets/sprites/Enemies/Enemy_2.png,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,20,40,40,1.0,0.5,1.0,0.5
tank_enemy,res://assets/sprites/Enemies/Enemy_3.png,1.5,1.5,1.0,1.0,1.0,1.0,0,0,0,30,60,60,0.8,1.0,1.0,1.0
boss_enemy,res://assets/sprites/Enemies/Enemy_7.png,2.0,2.0,1.0,1.0,1.0,1.0,0,0,0,40,80,80,1.0,1.0,1.0,1.0
enemy_glutton,res://assets/sprites/Enemies/Enemy_Glutton_01.png,1.0,1.0,1.0,0.8,0.2,1.0,0,0,0,20,40,40,1.0,1.0,1.0,1.0
saw_enemy,res://assets/sprites/Enemies/Enemy_6.png,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,20,40,40,1.0,1.0,1.0,1.0
steel_enemy,res://assets/sprites/Enemies/Enemy_7.png,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,20,40,40,1.0,1.0,1.0,1.0
fractal_slime,res://assets/sprites/Enemies/Enemy_2.png,1.2,1.2,0.2,0.8,0.2,1.0,0,0,0,25,50,50,0.9,1.0,1.0,1.0
fractal_slime_mini,res://assets/sprites/Enemies/Enemy_2.png,0.6,0.6,0.4,0.9,0.4,1.0,0,0,0,12,24,24,1.1,1.0,1.0,1.0
volatile_spark,res://assets/sprites/Enemies/Enemy_5.png,0.58,0.58,1.0,0.82,0.22,1.0,0,0,-4,12,24,24,1.5,1.0,0.9,0.5
void_weaver,res://assets/sprites/Enemies/Enemy_6.png,1.05,1.05,0.42,0.36,0.92,1.0,0,0,-6,22,42,42,0.9,0.7,0.6,1.0
phalanx_enforcer,res://assets/sprites/Enemies/Enemy_7.png,1.65,1.65,0.48,0.78,1.0,1.0,0,0,-10,34,64,64,0.75,0.8,0.95,1.0
the_warden,res://assets/sprites/Enemies/Enemy_4.png,1.3,1.3,0.85,0.52,0.96,1.0,0,0,-8,26,52,52,0.95,1.0,0.72,1.0
siege_behemoth,res://assets/sprites/Enemies/Enemy_7.png,1.85,1.85,0.72,0.62,0.48,1.0,0,0,-14,38,72,72,0.72,1.0,0.88,0.68
zealot_martyr,res://assets/sprites/Enemies/Enemy_5.png,1.15,1.15,1.0,0.36,0.30,1.0,0,0,-8,24,48,48,1.18,1.0,0.7,0.62
gravity_anomaly,res://assets/sprites/Enemies/Enemy_6.png,1.45,1.45,0.44,0.62,1.0,1.0,0,0,-12,30,58,58,0.82,0.68,0.82,1.0
echo_mimic,res://assets/sprites/Enemies/Enemy_6.png,1.35,1.35,0.62,0.24,0.82,1.0,0,0,-10,28,56,56,0.95,0.88,0.62,1.0
mag_controller,res://assets/sprites/Enemies/Enemy_7.png,1.55,1.55,0.24,0.86,1.0,1.0,0,0,-12,32,60,60,0.78,0.76,0.98,1.0
temporal_anchor,res://assets/sprites/Enemies/Enemy_4.png,1.75,1.75,0.74,0.86,1.0,1.0,0,0,-14,34,66,66,0.72,0.90,1.0,1.0
gold_mite,res://assets/sprites/Enemies/Enemy_2.png,0.82,0.82,1.0,0.84,0.22,1.0,0,0,-4,16,28,28,1.25,1.0,0.94,0.62
geo_locksmith,res://assets/sprites/Enemies/Enemy_7.png,1.70,1.70,0.38,1.0,0.86,1.0,0,0,-14,34,64,64,0.74,0.84,1.0,0.84
resonance_guardian,res://assets/sprites/Enemies/Enemy_5.png,1.40,1.40,0.58,0.58,1.0,1.0,0,0,-10,28,54,54,0.92,0.86,1.0,1.0
sigil_carver,res://assets/sprites/Enemies/Enemy_6.png,1.30,1.30,1.0,0.42,0.72,1.0,0,0,-10,26,50,50,0.90,1.0,0.76,0.92
line_dummy,res://assets/sprites/Enemies/Enemy_1.png,0.95,0.95,0.30,0.82,1.0,1.0,0,0,-6,20,38,38,1.0,0.72,0.94,1.0
closure_dummy,res://assets/sprites/Enemies/Enemy_4.png,0.90,0.90,1.0,0.82,0.26,1.0,0,0,-6,18,34,34,0.95,1.0,0.90,0.52
dash_beetle,res://assets/sprites/Enemies/Enemy_3.png,0.70,0.70,1.0,0.34,0.26,1.0,0,0,-4,14,28,28,1.35,1.0,0.80,0.74
temporal_anchor_node,res://assets/sprites/Enemies/Enemy_4.png,0.85,0.85,0.82,0.96,1.0,1.0,0,0,-4,14,26,26,1.0,0.88,1.0,1.0
abyssal_broodmother,res://assets/sprites/Enemies/Enemy_7.png,2.15,2.15,0.42,0.92,0.54,1.0,0,0,-18,42,86,86,0.78,1.0,0.76,1.0
euclidean_shadow,res://assets/sprites/Enemies/Enemy_6.png,2.00,2.00,0.68,0.54,1.0,1.0,0,0,-20,38,80,80,0.92,0.82,1.0,1.0
fortress_titan,res://assets/sprites/Enemies/Enemy_7.png,2.40,2.40,0.70,0.72,0.80,1.0,0,0,-24,48,92,92,0.68,0.78,0.86,1.0
