"emblem_id","display_name","artifact_type","bond_tag","rarity","shop_price","is_unique","icon_path","description"
"-1","显示名称","护符类型","羁绊标签","稀有度","商店价格","是否唯一","图标路径","描述"
"emblem_inkborn","术理徽章","emblem","inkborn","common","54","0","res://assets/emblems/inkborn.png","全队术理标签+1"
"emblem_colossus","御阵徽章","emblem","colossus","common","54","0","res://assets/emblems/colossus.png","全队御阵标签+1"
"emblem_nomad","锋芒徽章","emblem","nomad","common","54","0","res://assets/emblems/nomad.png","全队锋芒标签+1"
"emblem_alchemist","协律徽章","emblem","alchemist","common","54","0","res://assets/emblems/alchemist.png","全队协律标签+1"
"emblem_blaster","爆破徽章","emblem","blaster","common","54","0","res://assets/emblems/blaster.png","全队爆破标签+1"
"emblem_architect","筑墙徽章","emblem","architect","common","54","0","res://assets/emblems/architect.png","全队筑墙标签+1"
"emblem_hexer","咒术徽章","emblem","hexer","common","54","0","res://assets/emblems/hexer.png","全队咒术标签+1"
"emblem_geometrist","几何徽章","emblem","geometrist","common","54","0","res://assets/emblems/geometrist.png","全队几何标签+1"
"emblem_assist","协律徽章","emblem","assist","common","54","0","res://assets/emblems/assist.png","全队协律标签+1"
"emblem_vanguard","突击徽章","emblem","vanguard","common","54","0","res://assets/emblems/vanguard.png","全队突击标签+1"
"emblem_commander","指挥徽章","emblem","commander","common","54","0","res://assets/emblems/commander.png","全队指挥标签+1"
"emblem_wildcard","万能鬼牌","emblem","wildcard","legendary","0","1","res://assets/emblems/wildcard.png","可充当任意羁绊标签+1"
"relic_gold_ink","黄金墨水","relic","","rare","68","1","res://assets/emblems/gold_ink.png","线条持续时间+20%"
"relic_vampiric","吸血假牙","relic","","rare","68","1","res://assets/emblems/vampiric.png","击杀回血"
