"id","name","tier","type","slot_type","base_stat","base_value","mod_type","mod_value","bond_grant","shop_price","icon_path","description"
"-1","名称","层级","类型","槽位类型","基础属性","基础值","修正类型","修正值","羁绊标签","商店价格","图标路径","描述"
"attr_hp_potion","生命药水","1","equipment","weapon","hp","50","","","","","res://assets/sprites/Icons/origins/origin1.png","增加50点生命值"
"attr_speed_boots","疾风靴","1","equipment","weapon","speed","50","","","","","res://assets/sprites/Icons/origins/origin2.png","增加50点移动速度"
"attr_damage_dagger","锋利匕首","1","equipment","weapon","attack","10","","","","","res://assets/sprites/Icons/origins/origin3.png","增加10点攻击力"
"magic_fire_heart","火焰之心","2","equipment","weapon","attack","15","fire_percent","0.20","","","res://assets/sprites/Icons/masterys/mastery1.png","所有火焰伤害+20%"
"magic_ice_crystal","冰霜水晶","2","equipment","weapon","attack","15","ice_percent","0.25","","","res://assets/sprites/Icons/masterys/mastery2.png","所有冰霜伤害+25%"
"magic_aoe_amplifier","范围扩增器","2","equipment","weapon","attack","10","aoe_percent","0.30","","","res://assets/sprites/Icons/masterys/mastery3.png","所有范围技能效果+30%"
"magic_damage_boost","通用伤害增幅","2","equipment","weapon","attack","10","damage_percent","0.15","","","res://assets/sprites/Icons/masterys/mastery4.png","所有伤害+15%"
"magic_duration_extend","持续时间延长","2","equipment","weapon","hp","30","duration_percent","0.40","","","res://assets/sprites/Icons/masterys/mastery5.png","所有持续效果+40%"
"magic_speed_boost","速度强化","2","equipment","weapon","speed","30","speed_percent","0.25","","","res://assets/sprites/Icons/masterys/mastery6.png","所有速度相关+25%"
"relic_skull_human","人骨法球","3","equipment","weapon","attack","25","debuff_duration_pct","0.15","hexer","100","res://assets/sprites/Item/Relics/relic_skull_human.png","散发着不祥的气息"
"relic_bone_femur","巨人之股","3","equipment","weapon","hp","400","max_health_pct","0.10","colossus","100","res://assets/sprites/Item/Relics/relic_bone_femur.png","甚至可以当做棍棒使用"
"relic_bone_jaw","贪食下颚","3","equipment","weapon","speed","60","movement_speed_pct","0.10","nomad","100","res://assets/sprites/Item/Relics/relic_bone_jaw.png","咬住猎物绝不松口"
"relic_bone_wrapped","绑带骨棒","3","equipment","weapon","attack","30","attack_speed","0.10","vanguard","100","res://assets/sprites/Item/Relics/relic_bone_wrapped.png","简单粗暴的先锋武器"
"relic_skeletal_hand","冥界援手","3","equipment","weapon","hp","300","bench_cd_reduce_pct","0.15","assist","100","res://assets/sprites/Item/Relics/relic_skeletal_hand.png","多一只手总是好的"
"relic_bone_cross","骸骨支架","3","equipment","weapon","hp","350","line_duration_pct","0.15","architect","100","res://assets/sprites/Item/Relics/relic_bone_cross.png","稳固结构的连接点"
"relic_ribcage","白骨胸廓","3","equipment","weapon","hp","500","max_health_pct","0.15","colossus","100","res://assets/sprites/Item/Relics/relic_ribcage.png","保护心脏的最后防线"
"relic_giant_tooth","太古臼齿","3","equipment","weapon","hp","450","max_health_pct","0.12","colossus","100","res://assets/sprites/Item/Relics/relic_giant_tooth.png","能粉碎一切坚硬之物"
"relic_sharp_fang","疾风狼牙","3","equipment","weapon","speed","70","movement_speed_pct","0.12","nomad","100","res://assets/sprites/Item/Relics/relic_sharp_fang.png","撕裂空气的尖锐"
"relic_skull_bird","渡鸦之首","3","equipment","weapon","attack","20","shape_tolerance_pct","0.20","geometrist","100","res://assets/sprites/Item/Relics/relic_skull_bird.png","俯瞰战场的视角"
"relic_jaw_trap","活体陷阱","3","equipment","weapon","hp","400","line_duration_pct","0.20","architect","100","res://assets/sprites/Item/Relics/relic_jaw_trap.png","任何踏入者都将付出代价"
"relic_fresh_heart","鲜活之心","3","equipment","weapon","attack","35","attack_speed","0.15","vanguard","100","res://assets/sprites/Item/Relics/relic_fresh_heart.png","仍在有力的跳动"
"relic_dual_eyes","真理双瞳","3","equipment","weapon","attack","25","shape_tolerance_pct","0.25","geometrist","100","res://assets/sprites/Item/Relics/relic_dual_eyes.png","看穿维度的界限"
"relic_brain","缸中之脑","3","equipment","weapon","attack","30","energy_regen_pct","0.20","inkborn","100","res://assets/sprites/Item/Relics/relic_brain.png","纯粹思维的结晶"
"relic_severed_arm","替身断臂","3","equipment","weapon","hp","350","bench_cd_reduce_pct","0.20","assist","100","res://assets/sprites/Item/Relics/relic_severed_arm.png","它还能动"
"relic_severed_foot","行军断足","3","equipment","weapon","speed","80","movement_speed_pct","0.15","nomad","100","res://assets/sprites/Item/Relics/relic_severed_foot.png","哪怕只剩一只脚也要前行"
"relic_gem_bone_green","翠玉骨饰","3","equipment","weapon","hp","300","pickup_range_pct","0.20","alchemist","100","res://assets/sprites/Item/Relics/relic_gem_bone_green.png","价值连城的陪葬品"
"relic_ring_sapphire","苍蓝指环","3","equipment","weapon","attack","25","energy_regen_pct","0.25","inkborn","100","res://assets/sprites/Item/Relics/relic_ring_sapphire.png","魔力在戒面流淌"
"relic_ring_amethyst","紫怨指环","3","equipment","weapon","attack","20","debuff_duration_pct","0.20","hexer","100","res://assets/sprites/Item/Relics/relic_ring_amethyst.png","低语着诅咒的咒文"
"relic_crown_spiked","荆棘王冠","3","equipment","weapon","hp","300","stat_share_pct","0.15","commander","100","res://assets/sprites/Item/Relics/relic_crown_spiked.png","欲戴皇冠必承其重"
"relic_necklace_teeth","兽牙项链","3","equipment","weapon","speed","65","movement_speed_pct","0.12","nomad","100","res://assets/sprites/Item/Relics/relic_necklace_teeth.png","荣耀猎人的证明"
