"item_id","item_name","item_type","item_tier","effect_type","effect_target","target_tags","effect_value","icon_path","description","price","shop_weight","is_trade_off"
"-1","道具名称","类型ID","层级","效果类型","目标类型","目标标签","效果数值","图标路径","描述","价格","权重","是否权衡"
"berserker_mask","狂战士面具","consumable","2","percent_add","modifier","damage","0.30","res://assets/sprites/Icons/masterys/mastery1.png","所有伤害+30%","60","10","0"
"berserker_mask","狂战士面具","consumable","2","flat_add","stat","max_health","-20","res://assets/sprites/Icons/masterys/mastery1.png","生命上限-20","60","10","1"
"glass_cannon","玻璃大炮","consumable","2","percent_add","modifier","damage","0.50","res://assets/sprites/Icons/masterys/mastery2.png","所有伤害+50%","80","8","0"
"glass_cannon","玻璃大炮","consumable","2","flat_add","stat","armor","-10","res://assets/sprites/Icons/masterys/mastery2.png","护甲-10","80","8","1"
"speed_demon","速度恶魔","consumable","2","flat_add","stat","speed","100","res://assets/sprites/Icons/masterys/mastery3.png","移动速度+100","48","12","0"
"speed_demon","速度恶魔","consumable","2","percent_add","modifier","cooldown","-0.15","res://assets/sprites/Icons/masterys/mastery3.png","冷却时间+15%","48","12","1"
"vampiric_blade","吸血之刃","consumable","2","percent_add","modifier","lifesteal","0.15","res://assets/sprites/Icons/masterys/mastery4.png","生命偷取+15%","72","10","0"
"vampiric_blade","吸血之刃","consumable","2","flat_add","stat","damage","-5","res://assets/sprites/Icons/masterys/mastery4.png","攻击力-5","72","10","1"
"critical_focus","暴击专注","consumable","2","flat_add","stat","crit_chance","20","res://assets/sprites/Icons/masterys/mastery5.png","暴击率+20%","64","10","0"
"critical_focus","暴击专注","consumable","2","flat_add","stat","attack_speed","-0.20","res://assets/sprites/Icons/masterys/mastery5.png","攻击速度-20%","64","10","1"
"arcane_amplifier","奥术增幅器","consumable","1","percent_add","modifier","magic","0.25","res://assets/sprites/Icons/origins/origin1.png","所有魔法伤害+25%","40","15","0"
"warrior_blessing","战士祝福","consumable","1","flat_add","stat","max_health","50","res://assets/sprites/Icons/origins/origin2.png","生命上限+50","32","15","0"
"swift_boots","迅捷之靴","consumable","1","flat_add","stat","speed","60","res://assets/sprites/Icons/origins/origin3.png","移动速度+60","28","15","0"
"lucky_charm","幸运符咒","consumable","1","flat_add","stat","gold_gain","0.10","res://assets/sprites/Icons/origins/origin4.png","金币获取+10%","36","12","0"
"exp_tome","经验古籍","consumable","1","flat_add","stat","exp_gain","0.15","res://assets/sprites/Icons/origins/origin5.png","经验获取+15%","34","12","0"
"fire_essence","火焰精华","consumable","2","percent_add","modifier","fire","0.35","res://assets/sprites/Icons/tactics/tactic1.png","火焰伤害+35%","56","10","0"
"ice_shard","冰霜碎片","consumable","2","percent_add","modifier","ice","0.35","res://assets/sprites/Icons/tactics/tactic2.png","冰霜伤害+35%","56","10","0"
"aoe_crystal","范围水晶","consumable","2","percent_add","modifier","aoe","0.40","res://assets/sprites/Icons/tactics/tactic3.png","范围效果+40%","60","10","0"
