bond_id,bond_type,icon_path_index,display_name,description
-1,类型,图标索引,显示名称,描述
martial,origin,1,武道世家,来自武道世家的战士
arcane,origin,2,秘术行者,掌握神秘力量的法师
survivor,origin,3,幸存者,在废土中生存下来的强者
noble,origin,4,贵族血统,拥有高贵血统的领主
shadow,origin,5,暗影刺客,隐藏在黑暗中的杀手
nature,origin,6,自然守护,与自然共生的守护者
tech,origin,7,科技先锋,掌握先进科技的工程师
destruction,mastery,1,毁灭打击,擅长造成大量伤害
velocity,mastery,2,极速,拥有超快的移动速度
control,mastery,3,控制大师,擅长控制敌人
defense,mastery,4,坚韧防御,拥有强大的防御能力
support,mastery,5,辅助专家,擅长支援队友
summon,mastery,6,召唤大师,能够召唤强大的生物
stealth,mastery,7,隐匿,擅长潜行和暗杀
assault,tactic,1,突击战术,快速突入敌阵
assist,tactic,2,支援战术,提供强大的支援
captain,tactic,3,指挥官,领导团队作战
defense_tactic,tactic,4,防御战术,坚守阵地
guerrilla,tactic,5,游击战术,灵活机动作战
siege,tactic,6,攻城战术,擅长攻坚
ambush,tactic,7,伏击战术,设置陷阱伏击敌人
