"bond_id","type","level","required_count","effect_type","effect_param","effect_value","icon_path_index","display_name","description"
"-1","type","level","required_count","effect_type","effect_param","effect_value","icon_path_index","display_name","description"
"inkborn","origin","1","2","stat_mod","energy_regen_pct","0.3","1","Inkborn","Energy regen +30%"
"inkborn","origin","2","4","mechanic","kill_regen","5","1","Inkborn","Restore 5 energy on kill"
"inkborn","origin","3","6","stat_mod","energy_regen_pct","0.8","1","Inkborn","Energy regen +80%"
"colossus","origin","1","2","stat_mod","max_health_pct","0.25","2","Colossus","Team max health +25%"
"colossus","origin","2","4","mechanic","super_armor","1","2","Colossus","Super armor while drawing closed shape"
"colossus","origin","3","6","stat_mod","max_health_pct","0.6","2","Colossus","Team max health +60%"
"nomad","origin","1","2","stat_mod","movement_speed_pct","0.15","3","Nomad","Move speed +15%"
"nomad","origin","2","4","mechanic","speed_to_damage","1","3","Nomad","Convert move speed bonus to damage"
"nomad","origin","3","6","stat_mod","movement_speed_pct","0.4","3","Nomad","Move speed +40%"
"alchemist","origin","1","2","stat_mod","pickup_range_pct","0.5","4","Alchemist","Pickup range +50%"
"alchemist","origin","2","4","mechanic","gold_trail","1","4","Alchemist","Trail generates gold"
"alchemist","origin","3","6","stat_mod","pickup_range_pct","1.0","4","Alchemist","Pickup range +100%"
"blaster","mastery","1","2","mechanic","closed_shape_dmg","0.2","1","Blaster","Closed shape damage +20%"
"blaster","mastery","2","4","mechanic","secondary_explode","1","1","Blaster","Secondary explosion on trigger"
"blaster","mastery","3","6","mechanic","chain_reaction","1","1","Blaster","Chain reaction on explosion"
"architect","mastery","1","2","mechanic","line_duration","3.0","2","Architect","Line duration +3s"
"architect","mastery","2","4","mechanic","thorns_wall","1","2","Architect","Walls gain thorns damage"
"architect","mastery","3","6","mechanic","permanent_cage","10.0","2","Architect","Closed shape becomes 10s cage"
"hexer","mastery","1","2","mechanic","debuff_duration","0.5","3","Hexer","Debuff duration extended"
"hexer","mastery","2","4","mechanic","curse_stack","1","3","Hexer","Curse stacks per second in shape"
"hexer","mastery","3","6","mechanic","death_brush","0.05","3","Hexer","Brush deals 5% max HP true damage"
"geometrist","mastery","1","2","mechanic","shape_tolerance","1","4","Geometrist","Closed-shape tolerance up"
"geometrist","mastery","2","4","mechanic","small_shape_crit","1","4","Geometrist","Small shapes always crit"
"geometrist","mastery","3","6","mechanic","polygon_effect","1","4","Geometrist","Polygon special effects"
"assist","tactic","1","2","mechanic","bench_cd_reduce","0.4","1","Assist","Bench cooldown -40%"
"assist","tactic","2","4","mechanic","mirror_draw","1","1","Assist","Enable bench mirror drawing"
"assist","tactic","3","6","mechanic","bench_cd_reduce","0.7","1","Assist","Bench cooldown -70% after switch"
"vanguard","tactic","1","2","mechanic","switch_cd_reduce","0.5","2","Vanguard","Switch cooldown -50%"
"vanguard","tactic","2","4","mechanic","ink_inherit","1.2","2","Vanguard","Preserve drawings and amplify damage"
"vanguard","tactic","3","6","mechanic","switch_reset","1","2","Vanguard","Reset Q/E after switch"
"commander","tactic","1","2","mechanic","stat_share","0.15","5","Commander","Share 15% bench stats to front"
"commander","tactic","2","4","mechanic","soul_attach","0.25","5","Commander","Front attacks attach bench effects"
"commander","tactic","3","6","mechanic","dual_order","1","5","Commander","Empowered soul attach on hit"
