player_id,trigger_bond,trigger_level,resonance_id,params_json,icd,duration
-1,瑙掕壊ID,瑙﹀彂缇佺粖,瑙﹀彂绛夌骇,鍏遍福ID,鍙傛暟JSON,鍐呯疆鍐峰嵈,鎸佺画鏃堕棿
butcher,architect,3,resonance_switch_overdrive,"{""cooldown_reduction"":0.25}",8,4
ignis,blaster,3,resonance_switch_overdrive,"{""cooldown_reduction"":0.25}",8,4
nexus,hexer,3,resonance_draw_echo,"{""damage_scale"":0.35}",7,0
windblade,geometrist,3,resonance_pulse_burst,"{""radius"":220,""damage_scale"":0.45}",9,0
diva,architect,3,resonance_draw_echo,"{""damage_scale"":0.35}",7,0
shaman,architect,3,resonance_pulse_burst,"{""radius"":220,""damage_scale"":0.45}",9,0
bulwark,architect,3,resonance_switch_overdrive,"{""cooldown_reduction"":0.25}",8,4
flashblade,blaster,3,resonance_switch_overdrive,"{""cooldown_reduction"":0.25}",8,4
frostbite,blaster,3,resonance_switch_overdrive,"{""cooldown_reduction"":0.25}",8,4
matrix,hexer,3,resonance_pulse_burst,"{""radius"":220,""damage_scale"":0.45}",9,0
warden,architect,3,resonance_switch_overdrive,"{""cooldown_reduction"":0.25}",8,4
snareweaver,geometrist,3,resonance_pulse_burst,"{""radius"":220,""damage_scale"":0.45}",9,0
furnace,blaster,3,resonance_draw_echo,"{""damage_scale"":0.35}",7,0
inkweaver,hexer,3,resonance_draw_echo,"{""damage_scale"":0.35}",7,0
medium,blaster,3,resonance_draw_echo,"{""damage_scale"":0.35}",7,0
earthshaker,geometrist,3,resonance_draw_echo,"{""damage_scale"":0.35}",7,0
astrologer,hexer,3,resonance_switch_overdrive,"{""cooldown_reduction"":0.25}",8,4
gunslinger,geometrist,3,resonance_pulse_burst,"{""radius"":220,""damage_scale"":0.45}",9,0
polaris,blaster,3,resonance_pulse_burst,"{""radius"":220,""damage_scale"":0.45}",9,0
dealer,hexer,3,resonance_pulse_burst,"{""radius"":220,""damage_scale"":0.45}",9,0
plague,architect,3,resonance_pulse_burst,"{""radius"":220,""damage_scale"":0.45}",9,0
shadow,blaster,3,resonance_draw_echo,"{""damage_scale"":0.35}",7,0
chronomancer,hexer,3,resonance_draw_echo,"{""damage_scale"":0.35}",7,0
illusionist,architect,3,resonance_switch_overdrive,"{""cooldown_reduction"":0.25}",8,4
viper,geometrist,3,resonance_draw_echo,"{""damage_scale"":0.35}",7,0
leviathan,geometrist,3,resonance_switch_overdrive,"{""cooldown_reduction"":0.25}",8,4
pathfinder,geometrist,3,resonance_draw_echo,"{""damage_scale"":0.35}",7,0
necromancer,hexer,3,resonance_switch_overdrive,"{""cooldown_reduction"":0.25}",8,4
beastmaster,blaster,3,resonance_pulse_burst,"{""radius"":220,""damage_scale"":0.45}",9,0
bloodhowl,hexer,3,resonance_switch_overdrive,"{""cooldown_reduction"":0.25}",8,4
demolitionist,geometrist,3,resonance_switch_overdrive,"{""cooldown_reduction"":0.25}",8,4
botanist,architect,3,resonance_pulse_burst,"{""radius"":220,""damage_scale"":0.45}",9,0

