player_id,weapon_type_1,weapon_type_2,weapon_type_3,weapon_type_4
-1,武器类型1,武器类型2,武器类型3,武器类型4
butcher,punch,laser,,
pyro,laser,pistol,,
sapper,pistol,laser,,
tempest,punch,pistol,,
weaver,laser,punch,,
wind,pistol,punch,,
herder,pistol,laser,punch,
lovely,punch,laser,,
technology_hurricane,punch,laser,,
camouflage,punch,laser,,
warrior,punch,laser,,
electric_shock,punch,laser,,
tankman,punch,laser,,
wizard,punch,laser,,
the_flash,punch,laser,,
fortune_teller,punch,laser,,
tarot_reader,punch,laser,,
necromancer,punch,laser,,
magician,punch,laser,,
information_Support,punch,laser,,
heavy_support,punch,laser,,
technical_support,punch,laser,,
light_support,punch,laser,,
doctor,punch,laser,,
witch_doctor,punch,laser,,
nurse,punch,laser,,
dryad,punch,laser,,
