"player_id","display_name","display_order","enabled","ties","health","health_regen","skill_q_cost","skill_e_cost","close_threshold","energy_regen","max_energy","initial_energy","max_armor","base_speed","description","external_force_decay","knockback_scale","origin_tag","mastery_tag","tactic_tag","q_closure_sfx","q_closure_volume_db","q_closure_sfx_enabled"
"-1","显示名","显示顺序","是否启用","羁绊","生命值","血量恢复","Q技能消耗","E技能消耗","近战阈值","能量恢复","最大能量","初始能量","最大护甲","移动速度","说明","外力衰减","击退缩放","身世标签","职能标签","战术标签","Q闭合专属音效路径","Q闭合音量(dB)","Q闭合音效开关"
"butcher","屠夫","1","1","重装|筑墙者|突击型","158","1","30","50","60","0.5","1000","1000","6","450","近战肉盾，控制","50","0.3","colossus","architect","vanguard","res://assets/audio/skill/q_closure/butcher.wav","0","1"
"pyro","焰术师","6","1","魔导|爆破师|突击型","98","0","25","47","60","1.2","1005","1005","2","500","正面爆燃、压低群血","50","0.3","inkborn","blaster","vanguard","res://assets/audio/skill/q_closure/pyro.wav","0","1"
"weaver","织网者","7","1","魔导|咒术师|支援型","103","0","20","40","60","0.8","1006","1006","2","510","空间挂网、减速控线","50","0.3","inkborn","hexer","assist","res://assets/audio/skill/q_closure/weaver.wav","0","1"
"wind","风行者","15","1","游侠|几何师|指挥型","93","0","15","33","60","0.6","1014","1014","2","600","高机动切线、拉角","50","0.3","nomad","geometrist","commander","res://assets/audio/skill/q_closure/wind.wav","0","1"
"sapper","工兵","21","1","后勤|筑墙者|支援型","118","0.5","15","37","60","0.5","1020","1020","3","500","阵地建设，资源","50","0.3","alchemist","architect","assist","res://assets/audio/skill/q_closure/sapper.wav","0","1"
"lurewarden","诱猎师","22","1","后勤|筑墙者|指挥型","108","0.5","25","45","60","0.7","1021","1021","3","490","诱饵设局、改写追击","50","0.3","alchemist","architect","commander","res://assets/audio/skill/q_closure/lurewarden.wav","0","1"
"glacier","冰河","7","1","重装|筑墙者|突击型","158","0.8","0","39","60","0.5","1000","1000","6","400","冰墙与冰冻控制","50","0.3","colossus","architect","vanguard","res://assets/audio/skill/q_closure/glacier.wav","0","1"
"arcstriker","霆击者","8","1","游侠|爆破师|突击型","98","0.2","0","37","60","1.0","1000","1000","2","500","电弧突进、并网打击","50","0.3","nomad","blaster","vanguard","res://assets/audio/skill/q_closure/arcstriker.wav","0","1"
"runeblazer","符焰师","9","1","魔导|爆破师|突击型","98","0","0","39","60","1.0","1000","1000","2","500","符印爆燃、节点改写","50","0.3","inkborn","blaster","vanguard","res://assets/audio/skill/q_closure/runeblazer.wav","0","1"
"plague","疫师","10","1","后勤|咒术师|指挥型","103","0.2","0","35","60","0.9","1000","1000","2","490","瘴毒传播、慢磨群血","50","0.3","alchemist","hexer","commander","res://assets/audio/skill/q_closure/plague.wav","0","1"
"jailer","狱警","11","1","重装|筑墙者|突击型","153","0.6","0","39","60","0.5","1000","1000","5","420","电网与封锁","50","0.3","colossus","architect","vanguard","res://assets/audio/skill/q_closure/jailer.wav","0","1"
"stormseer","岚眼术士","12","1","游侠|几何师|指挥型","96","0.1","0","36","60","1.0","1000","1000","2","510","风场牵引、台风眼调度","50","0.3","nomad","geometrist","commander","res://assets/audio/skill/q_closure/stormseer.wav","0","1"
"blacksmith","铁匠","13","1","重装|爆破师|支援型","113","0.4","0","36","60","0.8","1000","1000","3","490","锻造强化","50","0.3","colossus","blaster","assist","res://assets/audio/skill/q_closure/blacksmith.wav","0","1"
"medic","军医","14","1","后勤|咒术师|支援型","108","0.4","0","37","60","0.8","1000","1000","2","500","治疗与吸血","50","0.3","alchemist","hexer","assist","res://assets/audio/skill/q_closure/medic.wav","0","1"
"quartermaster","军需官","15","1","后勤|爆破师|支援型","108","0.3","0","34","60","0.7","1000","1000","2","500","补给装填、火力链路","50","0.3","alchemist","blaster","assist","res://assets/audio/skill/q_closure/quartermaster.wav","0","1"
"paladin","圣卫","16","1","重装|几何师|支援型","163","0.7","0","41","60","0.4","1000","1000","7","380","护壁嘲讽、救场支援","50","0.3","colossus","geometrist","assist","res://assets/audio/skill/q_closure/paladin.wav","0","1"
"bloodsworn","血契者","17","1","魔导|咒术师|突击型","103","0.3","0","39","60","0.9","1000","1000","2","510","吸血续航、压血收割","50","0.3","inkborn","hexer","vanguard","res://assets/audio/skill/q_closure/bloodsworn.wav","0","1"
"banner","旗令官","18","1","游侠|几何师|指挥型","108","0.3","0","34","60","0.8","1000","1000","2","510","军令推进、冲锋窗口","50","0.3","nomad","geometrist","commander","res://assets/audio/skill/q_closure/banner.wav","0","1"
"breachmarshal","破阵督军","19","1","重装|爆破师|指挥型","118","0.3","0","37","60","0.8","1000","1000","3","500","破阵震线、前场开口","50","0.3","colossus","blaster","commander","res://assets/audio/skill/q_closure/breachmarshal.wav","0","1"
