"player_id","slot_q","slot_e","slot_lmb","slot_rmb"
"-1","Q技能ID","E技能ID","左键技能ID","右键技能ID"
"butcher","skill_saw_path","skill_butcher_e","skill_dash",""
"weaver","skill_web_weave","skill_weaver_e","skill_dash",""
"herder","skill_herder_loop","skill_herder_e","skill_dash",""
"pyro","skill_fire_path","skill_pyro_e","skill_dash",""
"wind","skill_wind_path","skill_wind_e","skill_dash",""
"sapper","skill_mine_path","skill_sapper_e","skill_dash",""
"glacier","skill_glacier_q","skill_glacier_e","skill_dash",""
"tesla","skill_tesla_q","skill_tesla_e","skill_dash",""
"new_pyro","skill_new_pyro_q","skill_new_pyro_e","skill_dash",""
"plague","skill_plague_q","skill_plague_e","skill_dash",""
"jailer","skill_jailer_q","skill_jailer_e","skill_dash",""
"new_tempest","skill_new_tempest_q","skill_new_tempest_e","skill_dash",""
"blacksmith","skill_blacksmith_q","skill_blacksmith_e","skill_dash",""
"medic","skill_medic_q","skill_medic_e","skill_dash",""
"ammo","skill_ammo_q","skill_ammo_e","skill_dash",""
"paladin","skill_paladin_q","skill_paladin_e","skill_dash",""
"vampire","skill_vampire_q","skill_vampire_e","skill_dash",""
"banner","skill_banner_q","skill_banner_e","skill_dash",""
"train","skill_train_q","skill_train_e","skill_dash",""
"swarm","skill_swarm_q","skill_swarm_e","skill_dash",""
"new_totem","skill_new_totem_q","skill_new_totem_e","skill_dash",""
"turret_eng","skill_turret_q","skill_turret_e","skill_dash",""
"goo","skill_goo_q","skill_goo_e","skill_dash",""
"necro","skill_necro_q","skill_necro_e","skill_dash",""
"illusionist","skill_illusionist_q","skill_illusionist_e","skill_dash",""
"voodoo","skill_voodoo_q","skill_voodoo_e","skill_dash",""
"merchant","skill_merchant_q","skill_merchant_e","skill_dash",""
"midas","skill_midas_q","skill_midas_e","skill_dash",""
"vacuum","skill_vacuum_q","skill_vacuum_e","skill_dash",""
"executioner","skill_executioner_q","skill_executioner_e","skill_dash",""
"gambler","skill_gambler_q","skill_gambler_e","skill_dash",""
"hunter","skill_hunter_q","skill_hunter_e","skill_dash",""
