player_id,weapon_slot_1,weapon_slot_2,weapon_slot_3,weapon_slot_4,weapon_slot_5,weapon_slot_6
-1,武器槽1,武器槽2,武器槽3,武器槽4,武器槽5,武器槽6
butcher,punch_1,punch_2,,,,
pyro,laser_1,laser_2,,,,
sapper,pistol_1,pistol_2,,,,
weaver,pistol_1,pistol_2,,,,
wind,laser_1,laser_2,,,,
lurewarden,punch_1,punch_2,,,,
glacier,punch_1,punch_2,,,,
arcstriker,punch_1,punch_2,,,,
runeblazer,punch_1,punch_2,,,,
plague,punch_1,punch_2,,,,
jailer,punch_1,punch_2,,,,
stormseer,punch_1,punch_2,,,,
blacksmith,punch_1,punch_2,,,,
medic,punch_1,punch_2,,,,
quartermaster,punch_1,punch_2,,,,
paladin,punch_1,punch_2,,,,
bloodsworn,punch_1,punch_2,,,,
banner,punch_1,punch_2,,,,
breachmarshal,punch_1,punch_2,,,,
swarm,punch_1,punch_2,,,,
spiritcaller,punch_1,punch_2,,,,
turretwright,punch_1,punch_2,,,,
mirebinder,punch_1,punch_2,,,,
necro,punch_1,punch_2,,,,
illusionist,punch_1,punch_2,,,,
hexwarden,punch_1,punch_2,,,,
broker,punch_1,punch_2,,,,
gildhand,punch_1,punch_2,,,,
singularist,punch_1,punch_2,,,,
executioner,punch_1,punch_2,,,,
fatebinder,punch_1,punch_2,,,,
trapper,punch_1,punch_2,,,,
