"skill_id","energy_cost","cooldown","fixed_segment_length","dash_speed","energy_per_10px","energy_threshold_distance","energy_scale_multiplier","base_line_duration","desc_q_line","desc_q_circle","desc_e","tags","param1","param1_note","param2","param2_note","param3","param3_note","param4","param4_note","param5","param5_note","param6","param6_note","param7","param7_note","param8","param8_note","param9","param9_note","param10","param10_note"
"-1","能量消耗","冷却时间","线段长度","冲刺速度","每10px能量","能量阈值距离","能量递增系数","线条持续","Q画线描述","Q画圈描述","E技能描述","标签(英文逗号分隔)","特有参数1","参数1说明","特有参数2","参数2说明","特有参数3","参数3说明","特有参数4","参数4说明","特有参数5","参数5说明","特有参数6","参数6说明","特有参数7","参数7说明","特有参数8","参数8说明","特有参数9","参数9说明","特有参数10","参数10说明"
"skill_dash","5","","","","","","","","","","","active","400","冲刺距离(dash_distance)","2000","冲刺速度(dash_speed)","20","冲刺伤害(dash_damage)","2","冲刺击退(dash_knockback)","","","","","","","","","","","",""
"skill_butcher_q","28","","400","","0.4","1800","0.001","6.0","沿路径展开链锯切割墙，持续伤害并把敌人推离路径。","闭合后形成绞杀区：持续牵引切割并触发肢解斩。","","q,active,drawing,line,closed_shape","31","锯墙接触伤害(saw_damage_open)","0.32","锯墙伤害间隔(saw_contact_interval)","59","绞杀持续伤害(saw_area_damage)","0.32","绞杀伤害间隔(saw_area_interval)","6.7","绞杀区持续(closure_duration)","308.0","链锯作用半径(chain_radius)","1392.0","锯墙推离力度(saw_push_force)","72","肢解斩伤害(dismember_damage)","30.8","旋锯强度(saw_rotation_speed)","990.0","肢解全伤半径(saw_max_distance)"
"skill_meat_stake","40","10.0","","","","","","","","","投掷肉桩钉住敌人，造成伤害并固定目标。","e,active,burst","1.20","e_damage_or_heal","1.8","e_control_duration_or_buff_duration","20","肉桩伤害(stake_impact_damage)","6","肉桩持续(stake_duration)","","","","","","","","","","","1.2","f_internal_trigger_cd(reference)"
"skill_weaver_q","10","","320","","0.4","1800","0.0006","","沿路径编织蛛网线，延迟后收网对路径上敌人造成伤害。","闭合区域内编织蛛网陷阱，困住区域内敌人。","","q,active,drawing,closed_shape","3","收网速度(recall_fly_speed)","40","收网伤害(recall_damage)","3","处决倍率(recall_execute_mult)","8","自动收网(auto_recall_delay)","","","","","","","","","","","",""
"skill_stun_bomb","34","9.0","","","","","","","","","投掷定身炸弹，范围内敌人被定身。","e,active,burst","0.30","e_damage_or_heal","1.2","e_control_duration_or_buff_duration","","","","","","","","","","","","","","","1.5","f_internal_trigger_cd(reference)"
"skill_lurewarden_q","","","600","2000","0.4","1800","0.0005","","沿路径冲刺，对路径上敌人造成伤害并击退。","闭合区域形成围栏，困住区域内敌人。","","q,active,drawing,line,closed_shape","1","冲刺伤害(dash_damage)","10","冲刺基础伤害(dash_base_damage)","2","冲刺击退(dash_knockback)","","","","","","","","","","","","","",""
"skill_lurewarden_explosion","8","","","","","","","","","","引爆周围区域，对范围内敌人造成大量伤害。","e,active,burst","200","爆炸半径(explosion_radius)","100","爆炸伤害(explosion_damage)","","","","","","","","","","","","","","","",""
"skill_pyro_q","","","300","1200","0.4","1800","0.0008","","沿路径创建火墙，阻挡敌人并造成接触伤害。","闭合区域内创建火海，持续对区域内敌人造成伤害。","","q,active,drawing,line,closed_shape","20","火线伤害(fire_line_damage)","5","火线持续(fire_line_duration)","24","火线宽度(fire_line_width)","40","火海伤害(fire_sea_damage)","5","火海持续(fire_sea_duration)","","","","","","","","","",""
"skill_fire_nova","36","8.0","","","","","","","","","在角色周围产生火焰环，击退附近敌人。","e,active,burst","0.80","e_damage_or_heal","0.0","e_control_duration_or_buff_duration","3","火焰新星持续(fire_nova_duration)","","","","","","","","","","","","","1.0","f_internal_trigger_cd(reference)"
"skill_wind_q","","","300","1200","0.4","1800","0.0006","","沿路径创建风墙，将敌人吸向风墙中心并造成伤害。","闭合区域内创建暴风区，持续将敌人拉向中心。","","q,active,drawing,line,closed_shape","350","风墙吸力(wind_wall_pull_force)","15","风墙伤害(wind_wall_damage)","30","暴风区伤害(storm_zone_damage)","3","风墙持续(wind_wall_duration)","24","风墙宽度(wind_wall_width)","120","风墙效果半径(wind_wall_effect_radius)","400","暴风区吸力(storm_zone_pull_force)","3","暴风区持续(storm_zone_duration)","","","",""
"skill_storm_eye","8","","","","","","","","","","在角色位置创建暴风眼，吸引并伤害附近敌人。","e,active,burst","140","暴风眼半径(storm_eye_radius)","35","暴风眼伤害(storm_eye_damage)","500","暴风眼吸力(storm_eye_pull_force)","3","暴风眼持续(storm_eye_duration)","","","","","","","","","","","",""
"skill_sapper_q","","","300","1200","0.4","1800","0.001","","沿路径埋设地雷，敌人踩到后触发爆炸造成大量伤害。","闭合区域内密集布雷，形成雷区。","","q,active,drawing,line,closed_shape","150","地雷伤害(mine_damage)","20","地雷触发半径(mine_trigger_radius)","120","地雷爆炸半径(mine_explosion_radius)","50","地雷密度距离(mine_density_distance)","60","地雷区域密度(mine_area_density)","","","","","","","","","",""
"skill_totem","32","10.0","","","","","","","","","放置图腾，图腾自动攻击附近敌人。","e,active,burst","0.90","e_damage_or_heal","0.0","e_control_duration_or_buff_duration","","","","","","","","","","","","","","","1.2","f_internal_trigger_cd(reference)"
"skill_glacier_q","","0","","","0.4","1800","0.0005","5.0","沿路径创建冰墙，阻挡并造成寒伤。","闭合区域触发冰封脉冲，冻结并持续减速。","","q,active,drawing,closed_shape","5.6","冰墙持续(wall_duration)","17.6","冰墙宽度(wall_width)","2.2","冻结持续(freeze_duration)","15","冰墙接触伤害(frost_contact_damage)","0.39","冰墙伤害间隔(frost_contact_interval)","23","暴雪伤害(blizzard_damage)","0.72","深寒减速(deep_slow)","","","","","",""
"skill_glacier_e","39","10.2","","","","","","","","","霜爆锚：定点冰爆冻结并施加脆裂标记。","e,active,burst","500","击退力度(knockback_force)","3","护盾值(shield_amount)","145","爆炸半径(explosion_radius)","46","冰爆伤害(explosion_damage)","","","","","","","","","","","",""
"skill_arcstriker_q","","0","","","0.4","1800","0.0005","5.0","沿路径拉出电弧，持续电击并短暂定身。","闭合区域形成雷电场，高频落雷并附加易伤。","","q,active,drawing,closed_shape","36","电弧伤害(arc_damage)","1.2","电弧定身(arc_stun_duration)","46","雷场伤害(field_damage)","5.0","雷场持续(field_duration)","0.3","电弧触发间隔(arc_interval)","0.29","雷场易伤(field_damage_amp)","","","","","","","",""
"skill_arcstriker_e","37","9.4","","","","","","","","","过载线圈：放置线圈并与导轨共振，触发高频电跳。","e,active,burst","2.8","沉默持续(silence_duration)","200","沉默范围(silence_radius)","","","","","","","","","","","","","","","",""
"skill_runeblazer_q","","0","","","0.4","1800","0.0005","5.0","沿路径点燃火墙，灼烧并放大受害。","闭合区域形成焚场，持续灼伤敌人。","","q,active,drawing,closed_shape","19","火墙接触伤害(wall_contact_damage)","51","火海伤害(fire_sea_damage)","5.6","火海持续(fire_sea_duration)","0.29","灼烧易伤(scorch_damage_amp)","11.0","燃烧点伤(burn_dot_value)","0.4","燃烧触发间隔(burn_tick_interval)","19.8","火墙宽度(flame_wall_width)","","","","","",""
"skill_runeblazer_e","39","8.9","","","","","","","","","焚步迁跃：闪现到符文并引爆，触发符炎齐射。","e,active,burst","600","击退力度(knockback_force)","160","爆炸半径(explosion_radius)","42","火焰环伤害(explosion_damage)","","","","","","","","","","","","","",""
"skill_plague_q","","0","","","0.4","1800","0.0005","5.0","沿路径扩散疫带，减速并叠加中毒。","闭合区域生成瘴气池，放大伤害并附带诅咒。","","q,active,drawing,closed_shape","0.64","疫带减速(slow_value)","13","毒伤强度(poison_damage)","6.2","中毒持续(poison_duration)","0.41","瘴气易伤(damage_amp_value)","7.3","瘴气持续(debuff_zone_duration)","23","瘴气伤害(miasma_damage)","10.2","瘴气诅咒(curse_value)","","","","","",""
"skill_plague_e","35","9.8","","","","","","","","","病原注射：标记宿主，受击时向周围喷溅孢子。","e,active,burst","250","引爆范围(detonate_radius)","44","每层引爆伤害(damage_per_stack)","","","","","","","","","","","","","","","",""
"skill_jailer_q","24","0","","","0.4","1800","0.0005","6.5","沿路径建立电网墙，接触即受伤。","闭合后形成监狱封锁，并附带减速与恐惧压制。","","q,active,drawing,closed_shape","28","电网接触伤害(wall_contact_damage)","17.6","电网宽度(wall_width)","7.3","电网持续(wall_duration)","0.67","监狱减速(prison_slow_value)","1.2","监狱恐惧持续(prison_fear_duration)","","","","","","","","","",""
"skill_jailer_e","39","11.2","","","","","","","","","枷锁判决：拘束高威胁目标并压制输出。","e,active,burst","0.45","e_damage_or_heal","2.0","e_control_duration_or_buff_duration","90","扇形角度(fan_angle)","36","盾击伤害(bash_damage)","","","","","","","","","","","1.3","f_internal_trigger_cd(reference)"
"skill_stormseer_q","","0","","","0.4","1800","0.0005","5.0","沿路径形成风带，友军高机动并切割敌人。","闭合区域化为台风眼，牵引、减速并持续伤害。","","q,active,drawing,closed_shape","0.45","风带加速(speed_boost_value)","4.5","风带持续(buff_duration)","28","台风伤害(pull_damage)","417.6","台风牵引(pull_force)","6.2","台风持续(area_duration)","18","风切伤害(wind_cut_damage)","0.41","风切减速(storm_slow_value)","","","","","",""
"skill_stormseer_e","36","8.8","","","","","","","","","风眼跃迁：在雷极点间位移并落雷补伤。","e,active,burst","800","抛飞力度(throw_force)","170","龙卷风范围(throw_radius)","0.8","眩晕时间(stun_duration)","36","龙卷风伤害(throw_damage)","","","","","","","","","","","",""
"skill_blacksmith_q","","0","","","0.4","1800","0.0005","5.0","沿路径锻出熔轨墙，阻挡敌人并造成接触伤害。","闭合区域生成锻炉圈，提升攻击并提供吸血。","","q,active,drawing,closed_shape","23","熔轨接触伤害(rail_contact_damage)","0.32","熔轨伤害间隔(rail_contact_interval)","22.0","熔轨宽度(rail_width)","0.52","锻炉攻击提升(forge_attack_boost)","0.21","锻炉吸血(forge_lifesteal)","6.2","锻炉持续(buff_duration)","","","","","","","",""
"skill_blacksmith_e","36","9.8","","","","","","","","","回火重击：强化下一击并触发扇形火花。","e,active,burst","","","","","","","","","","","","","","","","","","","",""
"skill_medic_q","","0","","","0.4","1800","0.0005","5.0","沿路径创建战地支援带，持续治疗并压制敌方机动。","闭合区域生成救治场，强化治疗并提供吸血支援。","","q,active,drawing,closed_shape","6","治疗量(heal_value)","0.5","线段减速(slow_value)","3.4","战地持续(invincible_duration)","0.21","分诊加速(triage_speed_boost)","0.14","战地吸血(field_lifesteal)","1.9","战地治疗倍率(field_heal_multiplier)","","","","","","","",""
"skill_medic_e","37","9.6","","","","","","","","","急救针：瞬时治疗并赋予短护盾，净化负面。","e,active,burst","5.0","吸血持续(lifesteal_duration)","0.28","吸血比例(lifesteal_value)","","","","","","","","","","","","","","","",""
"skill_quartermaster_q","","0","","","0.4","1800","0.0005","5.0","沿路径创建压制弹链，使敌人易伤并持续受创。","闭合区域生成补给区，提供冷却缩减与攻击提升。","","q,active,drawing,closed_shape","0.26","线段易伤(line_damage_amp)","13","线段压制伤害(line_damage)","0.26","补给冷却缩减(supply_cooldown_reduction)","0.29","补给攻击提升(supply_attack_boost)","5.6","补给区持续(buff_duration)","","","","","","","","","",""
"skill_quartermaster_e","34","9.2","","","","","","","","","战术换弹：立即装填并打出短压制射击。","e,active,burst","","","","","","","","","","","","","","","","","","","",""
"skill_paladin_q","","0","","","0.4","1800","0.0005","6.0","沿路径创建圣墙，反弹敌方弹道并反制接触。","闭合区域形成圣域，治疗友方并强化集火。","","q,active,drawing,closed_shape","17.6","圣墙宽度(wall_width)","6.7","圣墙持续(wall_duration)","3","圣域治疗(heal_value)","5.6","圣域持续(buff_duration)","0.3","圣域攻击提升(sanctuary_attack_boost)","0.2","圣域易伤(sanctuary_damage_amp)","13","圣墙接触伤害(reflect_contact_damage)","","","","","",""
"skill_paladin_e","41","10.4","","","","","","","","","誓约突进：突进并嘲讽周围敌人。","e,active,burst","240","嘲讽范围(taunt_radius)","2.8","嘲讽持续(taunt_duration)","","","","","","","","","","","","","","","",""
"skill_bloodsworn_q","","0","","","0.4","1800","0.0005","5.0","消耗自身生命沿路径放血斩杀。","闭合区域形成血池，提供高额续航并回血。","","q,active,drawing,closed_shape","0.08","生命消耗比例(hp_cost_percent)","42","血线伤害(blood_damage)","0.8","吸血比例(lifesteal_value)","6.2","血池持续(blood_pool_duration)","0.29","血印易伤(blood_mark_amp)","5","血池治疗(blood_heal_value)","","","","","","","",""
"skill_bloodsworn_e","39","8.6","","","","","","","","","穿心獠牙：突刺施加流血并吸血。","e,active,burst","200","吸血范围(drain_radius)","36","吸血伤害(drain_damage)","0.5","治疗比例(heal_percent)","","","","","","","","","","","","","",""
"skill_banner_q","","0","","","0.4","1800","0.0005","5.0","沿路径创建冲锋线，使队友穿模并加速。","闭合区域生成号令场，使敌人易伤并周期恐惧。","","q,active,drawing,closed_shape","0.32","冲锋线移速(line_speed_boost)","0.41","号令易伤(defense_reduction)","5.6","号令场持续(debuff_duration)","1.2","恐惧持续(fear_duration)","","","","","","","","","","","",""
"skill_banner_e","34","9.2","","","","","","","","","军号冲阵：引爆旗点并形成冲锋波。","e,active,burst","0.45","移速加成(speed_boost_value)","4.0","移速加成持续(speed_boost_duration)","","","","","","","","","","","","","","","",""
