"ult_id","name","duration","energy_cost","bonus_bond_tag","visual_color_hex","scale_multiplier","explosion_radius","explosion_damage_scale","description","f_mode_id","f_internal_cd","f_q_line_amp","f_q_closure_amp","f_special_value_1","f_special_value_2","f_special_value_3","f_bond_o_payload","f_bond_m_payload","f_bond_t_payload"
"-1","大招ID（格式角色ID_ult）","持续时间秒","能量消耗百分比0到100","临时羁绊标签","视觉颜色十六进制","缩放倍数","爆炸半径像素","爆炸伤害倍率","描述说明","F模式ID","F内置触发CD","Q线段倍率","Q闭合倍率","角色特值1","角色特值2","角色特值3","O位羁绊载荷","M位羁绊载荷","T位羁绊载荷"
"butcher_ult","血之狂怒","10.0","40.0","vanguard","#FF3333","1.2","220.0","1.3","屠夫进入血锯屠场窗口并强化画线屠杀","f25","0.90","1.55","2.05","1.35","220.0","0.30","tag:colossus|lv2:0.12|lv3:0.24|axis:line","tag:architect|lv2:0.16|lv3:0.32|axis:closure","tag:vanguard|lv2:0.10|lv3:0.20|axis:tempo"
"pyro_ult","炼狱化身","10.0","40.0","vanguard","#3366FF","1.2","300.0","1.1","火焰法师进入过热炉心并放大闭合爆燃","f16","0.85","1.60","2.10","1.30","240.0","0.22","tag:inkborn|lv2:0.12|lv3:0.24|axis:line","tag:blaster|lv2:0.16|lv3:0.32|axis:closure","tag:vanguard|lv2:0.10|lv3:0.20|axis:tempo"
"wind_ult","风之升华","10.0","40.0","commander","#33FF99","1.2","260.0","0.9","风行者开启飓眼迁跃并强化牵引风切","f11","0.95","1.50","1.95","1.15","260.0","0.28","tag:nomad|lv2:0.12|lv3:0.24|axis:line","tag:geometrist|lv2:0.16|lv3:0.32|axis:closure","tag:commander|lv2:0.10|lv3:0.20|axis:tempo"
"weaver_ult","万丝归巢","10.0","40.0","assist","#FFAA33","1.3","200.0","1.2","织网者启动万丝归巢并强化闭合禁行","f02","1.00","1.42","1.92","1.05","250.0","0.35","tag:inkborn|lv2:0.12|lv3:0.24|axis:line","tag:hexer|lv2:0.16|lv3:0.32|axis:closure","tag:assist|lv2:0.10|lv3:0.20|axis:tempo"
"sapper_ult","爆破专家","10.0","40.0","assist","#FF6600","1.2","350.0","1.2","工兵进入超限工爆模式并触发连爆压制","f22","0.90","1.52","2.02","1.25","230.0","0.26","tag:alchemist|lv2:0.12|lv3:0.24|axis:line","tag:architect|lv2:0.16|lv3:0.32|axis:closure","tag:assist|lv2:0.10|lv3:0.20|axis:tempo"
"herder_ult","围猎号令","10.0","40.0","commander","#66FF33","1.2","280.0","1.0","牧者开启围猎号令并强化驱赶包围","f14","0.95","1.48","1.96","1.18","250.0","0.30","tag:alchemist|lv2:0.12|lv3:0.24|axis:line","tag:architect|lv2:0.16|lv3:0.32|axis:closure","tag:commander|lv2:0.10|lv3:0.20|axis:tempo"
"glacier_ult","极夜冰环","10.0","40.0","vanguard","#66CCFF","1.2","230.0","1.1","冰河释放极夜冰环并强化冻结碎裂","f12","1.05","1.40","1.90","1.10","240.0","0.34","tag:colossus|lv2:0.12|lv3:0.24|axis:line","tag:architect|lv2:0.16|lv3:0.32|axis:closure","tag:vanguard|lv2:0.10|lv3:0.20|axis:tempo"
"tesla_ult","雷暴并网","10.0","40.0","vanguard","#FFFF33","1.2","240.0","1.1","特斯拉进入雷暴并网并提高连锁频率","f19","0.90","1.56","2.00","1.20","250.0","0.27","tag:nomad|lv2:0.12|lv3:0.24|axis:line","tag:blaster|lv2:0.16|lv3:0.32|axis:closure","tag:vanguard|lv2:0.10|lv3:0.20|axis:tempo"
"new_pyro_ult","符炎圣典","10.0","40.0","vanguard","#FF6600","1.2","250.0","1.1","新火法展开符炎圣典并触发顶点齐射","f17","0.88","1.58","2.08","1.28","245.0","0.24","tag:inkborn|lv2:0.12|lv3:0.24|axis:line","tag:blaster|lv2:0.16|lv3:0.32|axis:closure","tag:vanguard|lv2:0.10|lv3:0.20|axis:tempo"
"plague_ult","瘴界进化","10.0","40.0","commander","#33CC33","1.2","240.0","1.0","瘟疫进入瘴界进化并强化毒层传播","f03","1.02","1.46","1.94","1.12","255.0","0.36","tag:alchemist|lv2:0.12|lv3:0.24|axis:line","tag:hexer|lv2:0.16|lv3:0.32|axis:closure","tag:commander|lv2:0.10|lv3:0.20|axis:tempo"
"jailer_ult","终审禁域","10.0","40.0","vanguard","#CCCC33","1.2","230.0","1.0","狱警进入终审禁域并强化控场判决","f24","1.05","1.43","1.93","1.08","250.0","0.33","tag:colossus|lv2:0.12|lv3:0.24|axis:line","tag:architect|lv2:0.16|lv3:0.32|axis:closure","tag:vanguard|lv2:0.10|lv3:0.20|axis:tempo"
"new_tempest_ult","台风主宰","10.0","40.0","commander","#33FF99","1.2","250.0","1.1","新风暴启动台风主宰并制造多核牵引","f23","0.92","1.54","2.00","1.22","265.0","0.29","tag:nomad|lv2:0.12|lv3:0.24|axis:line","tag:geometrist|lv2:0.16|lv3:0.32|axis:closure","tag:commander|lv2:0.10|lv3:0.20|axis:tempo"
"blacksmith_ult","神工过热","10.0","40.0","assist","#CC6633","1.2","230.0","1.1","铁匠进入神工过热并强化重锻灼击","f05","1.00","1.50","1.98","1.16","235.0","0.23","tag:colossus|lv2:0.12|lv3:0.24|axis:line","tag:blaster|lv2:0.16|lv3:0.32|axis:closure","tag:assist|lv2:0.10|lv3:0.20|axis:tempo"
"medic_ult","战地总医院","10.0","40.0","assist","#FFFFFF","1.2","210.0","0.9","军医进入战地总医院并放大救治覆盖","f20","1.10","1.38","1.82","0.95","245.0","0.40","tag:alchemist|lv2:0.12|lv3:0.24|axis:line","tag:hexer|lv2:0.16|lv3:0.32|axis:closure","tag:assist|lv2:0.10|lv3:0.20|axis:tempo"
"ammo_ult","火力链路","10.0","40.0","assist","#999933","1.2","240.0","1.1","弹药进入火力链路并增强压制节奏","f18","0.95","1.52","1.98","1.18","240.0","0.31","tag:alchemist|lv2:0.12|lv3:0.24|axis:line","tag:blaster|lv2:0.16|lv3:0.32|axis:closure","tag:assist|lv2:0.10|lv3:0.20|axis:tempo"
"paladin_ult","圣谕降临","10.0","40.0","assist","#FFCC33","1.2","230.0","1.0","圣骑士发动圣谕降临并强化圣域审判","f08","1.00","1.44","1.90","1.08","250.0","0.37","tag:colossus|lv2:0.12|lv3:0.24|axis:line","tag:geometrist|lv2:0.16|lv3:0.32|axis:closure","tag:assist|lv2:0.10|lv3:0.20|axis:tempo"
"vampire_ult","猩红盛宴","10.0","40.0","vanguard","#CC0033","1.2","240.0","1.1","血族开启猩红盛宴并强化吸血闭合","f06","0.95","1.50","2.00","1.20","235.0","0.38","tag:inkborn|lv2:0.12|lv3:0.24|axis:line","tag:hexer|lv2:0.16|lv3:0.32|axis:closure","tag:vanguard|lv2:0.10|lv3:0.20|axis:tempo"
"banner_ult","总攻军令","10.0","40.0","commander","#FF9933","1.2","230.0","1.0","旗手发布总攻军令并推进战线","f15","0.98","1.46","1.92","1.10","260.0","0.32","tag:nomad|lv2:0.12|lv3:0.24|axis:line","tag:geometrist|lv2:0.16|lv3:0.32|axis:closure","tag:commander|lv2:0.10|lv3:0.20|axis:tempo"
"train_ult","钢轨狂飙","10.0","40.0","commander","#996633","1.2","280.0","1.2","火车王进入钢轨狂飙并强化冲撞碾压","f21","0.90","1.58","2.06","1.32","270.0","0.21","tag:colossus|lv2:0.12|lv3:0.24|axis:line","tag:blaster|lv2:0.16|lv3:0.32|axis:closure","tag:commander|lv2:0.10|lv3:0.20|axis:tempo"
"swarm_ult","母巢解放","10.0","40.0","commander","#669933","1.2","240.0","1.0","虫母启动母巢解放并强化毒群孵化","f26","1.00","1.45","1.93","1.06","255.0","0.35","tag:alchemist|lv2:0.12|lv3:0.24|axis:line","tag:hexer|lv2:0.16|lv3:0.32|axis:closure","tag:commander|lv2:0.10|lv3:0.20|axis:tempo"
"new_totem_ult","祖灵共鸣","10.0","40.0","commander","#9966CC","1.2","240.0","1.0","萨满进入祖灵共鸣并放大图腾震场","f13","0.96","1.47","1.95","1.14","250.0","0.33","tag:inkborn|lv2:0.12|lv3:0.24|axis:line","tag:architect|lv2:0.16|lv3:0.32|axis:closure","tag:commander|lv2:0.10|lv3:0.20|axis:tempo"
"turret_eng_ult","战术超频","10.0","40.0","assist","#666699","1.2","250.0","1.1","工程进入战术超频并强化炮线火力","f09","0.92","1.53","2.00","1.24","245.0","0.24","tag:nomad|lv2:0.12|lv3:0.24|axis:line","tag:blaster|lv2:0.16|lv3:0.32|axis:closure","tag:assist|lv2:0.10|lv3:0.20|axis:tempo"
"goo_ult","裂变黏潮","10.0","40.0","assist","#33CC66","1.2","230.0","0.9","软泥进入裂变黏潮并强化控速毒蚀","f04","1.02","1.41","1.88","1.00","255.0","0.39","tag:inkborn|lv2:0.12|lv3:0.24|axis:line","tag:hexer|lv2:0.16|lv3:0.32|axis:closure","tag:assist|lv2:0.10|lv3:0.20|axis:tempo"
"necro_ult","冥域行军","10.0","40.0","vanguard","#663399","1.2","240.0","1.0","死灵发动冥域行军并强化诅咒召回","f27","1.00","1.44","1.94","1.09","250.0","0.36","tag:inkborn|lv2:0.12|lv3:0.24|axis:line","tag:architect|lv2:0.16|lv3:0.32|axis:closure","tag:vanguard|lv2:0.10|lv3:0.20|axis:tempo"
"illusionist_ult","镜域分身","10.0","40.0","assist","#9999CC","1.2","235.0","1.0","魔术师展开镜域分身并强化错位打击","f01","0.94","1.49","1.96","1.13","255.0","0.30","tag:nomad|lv2:0.12|lv3:0.24|axis:line","tag:geometrist|lv2:0.16|lv3:0.32|axis:closure","tag:assist|lv2:0.10|lv3:0.20|axis:tempo"
"voodoo_ult","大巫降神","10.0","40.0","vanguard","#993366","1.2","230.0","1.0","巫毒进入大巫降神并强化咒链传导","f07","1.00","1.43","1.92","1.07","245.0","0.37","tag:colossus|lv2:0.12|lv3:0.24|axis:line","tag:geometrist|lv2:0.16|lv3:0.32|axis:closure","tag:vanguard|lv2:0.10|lv3:0.20|axis:tempo"
"merchant_ult","黑市清算","10.0","40.0","assist","#FFD700","1.2","210.0","0.9","商人进入黑市清算并强化产币结算","f10","1.08","1.36","1.82","0.90","240.0","0.45","tag:alchemist|lv2:0.12|lv3:0.24|axis:line","tag:geometrist|lv2:0.16|lv3:0.32|axis:closure","tag:assist|lv2:0.10|lv3:0.20|axis:tempo"
"midas_ult","黄金法典","10.0","40.0","vanguard","#DAA520","1.3","230.0","1.2","炼金开启黄金法典并强化镀金转化","f28","1.00","1.46","1.96","1.15","250.0","0.42","tag:inkborn|lv2:0.12|lv3:0.24|axis:line","tag:hexer|lv2:0.16|lv3:0.32|axis:closure","tag:vanguard|lv2:0.10|lv3:0.20|axis:tempo"
"vacuum_ult","奇点牵引","10.0","40.0","commander","#6A0DAD","1.2","260.0","1.1","吸尘器启动奇点牵引并强化坍缩爆发","f29","0.90","1.57","2.04","1.26","265.0","0.28","tag:nomad|lv2:0.12|lv3:0.24|axis:line","tag:blaster|lv2:0.16|lv3:0.32|axis:closure","tag:commander|lv2:0.10|lv3:0.20|axis:tempo"
"executioner_ult","断罪时刻","10.0","40.0","vanguard","#8B0000","1.3","230.0","1.5","处刑人进入断罪时刻并提升处决阈值","f30","1.00","1.50","2.06","1.27","230.0","0.32","tag:colossus|lv2:0.12|lv3:0.24|axis:line","tag:hexer|lv2:0.16|lv3:0.32|axis:closure","tag:vanguard|lv2:0.10|lv3:0.20|axis:tempo"
"gambler_ult","命运梭哈","10.0","40.0","vanguard","#FFD700","1.2","250.0","1.2","赌徒开启命运梭哈并触发高波动开奖","f31","1.12","1.40","1.88","1.02","245.0","0.50","tag:nomad|lv2:0.12|lv3:0.24|axis:line","tag:geometrist|lv2:0.16|lv3:0.32|axis:closure","tag:vanguard|lv2:0.10|lv3:0.20|axis:tempo"
"hunter_ult","终猎季","10.0","40.0","commander","#228B22","1.2","240.0","1.1","猎人进入终猎季并强化标记追猎","f32","0.95","1.51","1.99","1.19","255.0","0.34","tag:alchemist|lv2:0.12|lv3:0.24|axis:line","tag:architect|lv2:0.16|lv3:0.32|axis:closure","tag:commander|lv2:0.10|lv3:0.20|axis:tempo"
