wave_id,elite_id,spawn_interval_min,spawn_interval_max,max_spawn_count,enabled
-1,elite_id,spawn_interval_min,spawn_interval_max,max_spawn_count,enabled
wave_5,phalanx_enforcer,22,30,1,TRUE
wave_6,the_warden,22,30,1,TRUE
wave_7,the_warden,20,28,1,TRUE
wave_8,the_warden,18,26,1,TRUE
wave_9,the_warden,16,24,1,TRUE
wave_11,phalanx_enforcer,20,30,1,TRUE
wave_12,phalanx_enforcer,18,28,1,TRUE
wave_13,the_warden,18,26,1,TRUE
wave_14,phalanx_enforcer,16,24,1,TRUE
wave_15,the_warden,15,22,2,TRUE
wave_16,phalanx_enforcer,16,24,1,TRUE
wave_17,the_warden,15,22,1,TRUE
wave_18,phalanx_enforcer,14,20,1,TRUE
wave_18,the_warden,18,26,1,TRUE
wave_19,phalanx_enforcer,12,18,2,TRUE
wave_19,the_warden,14,20,1,TRUE
