attribute_id,display_name,attribute_type,effect_target,target_tags,base_value,value_type,base_price,price_scaling,shop_weight,min_wave,max_wave,is_positive
-1,属性名称,属性类型,目标类型,目标标签,基础数值,数值类型,基础价格,价格缩放,商店权重,最小波次,最大波次,是否正属性
health_boost,生命提升,stat,stat,max_health,35,flat,55,1.15,20,1,999,1
health_penalty,生命惩罚,stat,stat,max_health,-15,flat,35,1.0,10,1,999,0
speed_boost,速度提升,stat,stat,speed,60,flat,45,1.1,20,1,999,1
speed_penalty,速度惩罚,stat,stat,speed,-25,flat,30,1.0,10,1,999,0
damage_boost,伤害提升,modifier,modifier,damage,0.20,percent,70,1.2,15,1,999,1
damage_penalty,伤害惩罚,modifier,modifier,damage,-0.08,percent,45,1.0,12,1,999,0
armor_boost,护甲提升,stat,stat,armor,4,flat,65,1.15,15,1,999,1
armor_penalty,护甲惩罚,stat,stat,armor,-1,flat,40,1.0,10,1,999,0
crit_chance_boost,暴击率提升,stat,stat,crit_chance,12,flat,80,1.25,12,4,999,1
crit_chance_penalty,暴击率惩罚,stat,stat,crit_chance,-6,flat,50,1.0,8,4,999,0
attack_speed_boost,攻速提升,stat,stat,attack_speed,0.18,percent,75,1.2,15,1,999,1
attack_speed_penalty,攻速惩罚,stat,stat,attack_speed,-0.10,percent,45,1.0,10,1,999,0
cooldown_reduction,冷却缩减,modifier,modifier,cooldown,-0.12,percent,90,1.25,12,6,999,1
cooldown_penalty,冷却惩罚,modifier,modifier,cooldown,0.12,percent,55,1.0,8,6,999,0
lifesteal_boost,生命偷取,modifier,modifier,lifesteal,0.10,percent,100,1.3,6,6,999,1
range_boost,范围提升,modifier,modifier,range,0.25,percent,65,1.15,15,1,999,1
range_penalty,范围惩罚,modifier,modifier,range,-0.12,percent,40,1.0,10,1,999,0
projectile_boost,投射物增加,modifier,modifier,projectile_count,1,flat,130,1.35,8,8,999,1
aoe_boost,范围效果提升,modifier,modifier,aoe,0.30,percent,95,1.25,12,4,999,1
fire_damage_boost,火焰伤害,modifier,modifier,fire,0.25,percent,85,1.2,12,1,999,1
ice_damage_boost,冰霜伤害,modifier,modifier,ice,0.25,percent,85,1.2,12,1,999,1
magic_damage_boost,魔法伤害,modifier,modifier,magic,0.22,percent,80,1.2,13,1,999,1
physical_damage_boost,物理伤害,modifier,modifier,physical,0.22,percent,80,1.2,13,1,999,1
gold_gain_boost,金币获取,stat,stat,gold_gain,0.15,percent,70,1.15,15,1,999,1
gold_gain_penalty,金币惩罚,stat,stat,gold_gain,-0.10,percent,40,1.0,10,1,999,0
exp_gain_boost,经验获取,stat,stat,exp_gain,0.18,percent,65,1.15,15,1,999,1
exp_gain_penalty,经验惩罚,stat,stat,exp_gain,-0.12,percent,35,1.0,10,1,999,0
regen_boost,生命回复,stat,stat,regen,0.6,flat,60,1.15,16,1,999,1
regen_penalty,回复惩罚,stat,stat,regen,-0.2,flat,35,1.0,8,1,999,0
knockback_boost,击退强度,modifier,modifier,knockback,0.35,percent,60,1.15,10,4,999,1
pierce_boost,穿透提升,modifier,modifier,pierce,1,flat,110,1.3,8,6,999,1
crit_damage_boost,暴击伤害,modifier,modifier,crit_damage,0.30,percent,95,1.25,10,6,999,1
