wave_id,from_wave,to_wave,wave_time,spawn_type,fixed_spawn_time,min_spawn_time,max_spawn_time,budget_multiplier,peak_event,elite_slot_count
-1,from_wave,to_wave,wave_time,spawn_type,fixed_spawn_time,min_spawn_time,max_spawn_time,budget_multiplier,peak_event,elite_slot_count
wave_1_to_5,1,5,60,RANDOM,0.56,0.18,0.90,1.07,intro,1
wave_6_to_10,6,10,60,RANDOM,0.64,0.46,0.86,1.26,pressure,1
wave_11_to_15,11,15,60,RANDOM,0.58,0.38,0.78,1.50,escalation,2
wave_16_to_20,16,20,60,RANDOM,0.46,0.28,0.58,1.72,endgame,2
wave_1,1,1,60,RANDOM,1.00,0.80,1.20,0.96,intro,0
wave_2,2,2,60,RANDOM,0.95,0.75,1.10,1.00,intro,0
wave_3,3,3,60,RANDOM,0.90,0.70,1.00,1.06,intro,1
wave_4,4,4,60,RANDOM,0.85,0.65,0.90,1.12,swarm,1
wave_5,5,5,60,RANDOM,0.78,0.62,0.90,1.16,elite_affix,1
wave_6,6,6,60,RANDOM,0.74,0.58,0.86,1.20,stabilize,1
wave_7,7,7,60,RANDOM,0.70,0.54,0.82,1.24,control,1
wave_8,8,8,60,RANDOM,0.66,0.50,0.78,1.28,control,1
wave_9,9,9,60,RANDOM,0.62,0.46,0.74,1.33,pressure,1
wave_10,10,10,60,RANDOM,0.68,0.52,0.82,1.36,mid_boss,1
wave_11,11,11,60,RANDOM,0.64,0.50,0.78,1.40,pressure,1
wave_12,12,12,60,RANDOM,0.60,0.46,0.74,1.45,mixed_pressure,1
wave_13,13,13,60,RANDOM,0.58,0.44,0.70,1.50,mixed_pressure,2
wave_14,14,14,60,RANDOM,0.54,0.40,0.66,1.56,attrition,2
wave_15,15,15,60,RANDOM,0.50,0.38,0.62,1.62,late_boss,2
wave_16,16,16,60,RANDOM,0.48,0.34,0.60,1.66,hard_pressure,2
wave_17,17,17,60,RANDOM,0.44,0.32,0.56,1.70,hard_pressure,2
wave_18,18,18,60,RANDOM,0.40,0.30,0.52,1.74,kill_box,2
wave_19,19,19,60,RANDOM,0.36,0.28,0.48,1.79,pre_final,2
wave_20,20,20,60,RANDOM,0.42,0.30,0.54,1.84,final_boss,2
