weapon_base_id,display_name_template,type,max_level,base_damage,base_accuracy,base_cooldown,base_crit_chance,base_crit_damage,base_max_range,base_knockback,base_life_steal,base_recoil,base_recoil_duration,base_attack_duration,base_back_duration,base_projectile_speed,base_scene_path,projectile_scene,sprite_texture_template,icon_path_template,muzzle_offset,hitbox_offset,hitbox_scale,animation_frames_path,vfx_attack_scene,vfx_hit_scene,audio_attack,shape_type,bullet_mode,effect_type,base_sector_angle,base_bullet_count,base_spread_angle,base_pierce_count,param1,param2,param3,item_cost_base,resource_path,damage_scale,cooldown_scale,range_scale,knockback_scale,pierce_scale,bullet_count_scale
-1,显示名模板(%d=等级),类型,最大等级,基础伤害,基础精度,基础冷却,基础暴击率,基础暴击伤害,基础最大范围,基础击退,基础生命窃取,基础后坐力,基础后坐力时长,基础攻击时长,基础返回时长,基础子弹速度,基础场景路径,子弹场景,主贴图模板,图标路径模板,枪口偏移,碰撞体偏移,碰撞体缩放,动画帧资源,攻击特效,命中特效,攻击音效,形状类型,子弹模式,效果类型,基础扇形角度,基础子弹数量,基础散射角度,基础穿透次数,参数1,参数2,参数3,基础物品花费,资源路径,伤害倍率(每级),冷却倍率(每级),范围倍率(每级),击退倍率(每级),穿透倍率(每级),子弹数倍率(每级)
punch,拳头%d级,melee,4,10,1,0.8,0.05,1.5,180,1.5,0,15,0.08,0.3,0.15,0,res://scenes/weapons/melee/weapon_melee_point.tscn,,res://assets/sprites/Weapons/Melee/Weapon_Punch.png,res://assets/sprites/Weapons/Melee/Weapon_Punch.png,0|0,30|0,1.2|1.0,res://anims/punch_frames.tres,res://scenes/vfx/melee_punch_attack.tscn,res://scenes/vfx/melee_punch_hit.tscn,res://assets/audio/Punch.mp3,point,,,0,1,0,0,0,0,0,1,"",0.5,-0.1,10,0.1,0,0
laser,激光%d级,range,4,1,0.98,0.4,0.05,1.5,350,0.5,0,10,0.05,0.08,0.08,2000,res://scenes/weapons/range/weapon_range_beam.tscn,res://scenes/projectiles/projectile_laser.tscn,res://assets/sprites/Weapons/Range/WeaponLaser.png,res://assets/sprites/Weapons/Range/WeaponLaser.png,24|0,0|0,1.0|1.0,res://anims/laser_frames.tres,res://scenes/vfx/laser_muzzle_flash.tscn,res://scenes/vfx/laser_hit.tscn,res://assets/audio/LaserZap.wav,straight,single,,0,1,0,3,0,0,0,1,"",0.5,-0.05,20,0.1,1,0
pistol,手枪%d级,range,4,1,0.95,0.5,0.05,1.5,300,1,0,15,0.08,0.1,0.1,1800,res://scenes/weapons/range/weapon_range_physical.tscn,res://scenes/projectiles/projectile_pistol.tscn,res://assets/sprites/Weapons/Range/WeaponPistol.png,res://assets/sprites/Weapons/Range/WeaponPistol.png,20|-2,0|0,1.0|1.0,res://anims/pistol_frames.tres,res://scenes/vfx/pistol_muzzle_flash.tscn,res://scenes/vfx/bullet_hit.tscn,res://assets/audio/PistolShot.wav,straight,single,,0,1,0,0,0,0,0,1,"",0.5,-0.05,20,0.1,0,0
spear,长矛%d级,melee,4,2,1,0.7,0.06,1.8,250,2.0,0.1,20,0.1,0.2,0.12,0,res://scenes/weapons/melee/weapon_melee_thrust.tscn,,res://assets/sprites/Weapons/Melee/spear.png,res://assets/sprites/Weapons/Melee/spear.png,0|0,50|0,2.0|0.5,res://anims/thrust_frames.tres,res://scenes/vfx/thrust_attack.tscn,res://scenes/vfx/thrust_hit.tscn,res://assets/audio/Thrust.wav,line,,,0,1,0,2,300,2,0,1,"",0.3,-0.1,15,0.15,0.5,0
axe,斧头%d级,melee,4,3,0.9,1.0,0.08,2.0,150,3.0,0,25,0.12,0.5,0.15,0,res://scenes/weapons/melee/weapon_melee_sector.tscn,,res://assets/sprites/Weapons/Melee/Weapon_axe.png,res://assets/sprites/Weapons/Melee/Weapon_axe.png,0|0,0|0,1.0|1.0,res://anims/sector_frames.tres,res://scenes/vfx/sector_attack.tscn,res://scenes/vfx/sector_hit.tscn,res://assets/audio/AxeSwing.wav,sector,,,120,1,0,0,0,0,0,1,"",0.6,-0.1,10,0.2,0,0
sword,剑%d级,melee,4,2,0.95,0.6,0.07,1.8,200,1.8,0.05,18,0.09,0.18,0.11,0,res://scenes/weapons/melee/weapon_melee_thrust.tscn,,res://assets/sprites/Weapons/Melee/Weapon_chainsaw.png,res://assets/sprites/Weapons/Melee/Weapon_chainsaw.png,0|0,40|0,1.8|0.6,res://anims/thrust_frames.tres,res://scenes/vfx/thrust_attack.tscn,res://scenes/vfx/thrust_hit.tscn,res://assets/audio/SwordSlash.wav,line,,,0,1,0,1,250,1.5,0,1,"",0.5,-0.08,12,0.12,0.3,0
shotgun,霰弹枪%d级,range,4,1,0.85,0.8,0.06,1.6,200,1.5,0,30,0.1,0.15,0.12,1400,res://scenes/weapons/range/weapon_range_physical.tscn,res://scenes/projectiles/projectile_shotgun.tscn,res://assets/sprites/Weapons/Range/WeaponShotgun.png,res://assets/sprites/Weapons/Range/WeaponShotgun.png,22|0,0|0,1.0|1.0,res://anims/shotgun_frames.tres,res://scenes/vfx/shotgun_muzzle_flash.tscn,res://scenes/vfx/bullet_hit.tscn,res://assets/audio/ShotgunFire.wav,straight,spread,,0,7,45,0,0,0,0,1,"",0.4,-0.1,15,0.1,0,1
wand,魔杖%d级,range,4,2,0.92,0.6,0.06,1.7,280,0.8,0,12,0.07,0.12,0.1,1600,res://scenes/weapons/range/weapon_range_magic.tscn,res://scenes/projectiles/projectile_magic.tscn,res://assets/sprites/Weapons/Range/Weapon_wand.png,res://assets/sprites/Weapons/Range/Weapon_wand.png,18|0,0|0,1.0|1.0,res://anims/wand_frames.tres,res://scenes/vfx/magic_cast.tscn,res://scenes/vfx/magic_hit.tscn,res://assets/audio/MagicCast.wav,straight,magic,fire,0,1,0,0,5.0,3.0,0,1,"",0.5,-0.08,18,0.08,0,0
chainsaw,电锯%d级,melee,4,1,1,0.3,0.04,1.4,120,1.2,0.15,10,0.05,0.1,0.08,0,res://scenes/weapons/melee/weapon_melee_circle.tscn,,res://assets/sprites/Weapons/Melee/chainsaw.png,res://assets/sprites/Weapons/Melee/chainsaw.png,0|0,20|0,1.5|1.5,res://anims/circle_frames.tres,res://scenes/vfx/circle_attack.tscn,res://scenes/vfx/circle_hit.tscn,res://assets/audio/ChainsawBuzz.wav,circle,,,0,1,0,0,0,0,0,1,"",0.3,-0.05,8,0.08,0,0
revolver,左轮手枪%d级,range,4,2,0.96,0.6,0.06,1.8,320,1.2,0,18,0.09,0.12,0.11,1900,res://scenes/weapons/range/weapon_range_physical.tscn,res://scenes/projectiles/projectile_revolver.tscn,res://assets/sprites/Weapons/Range/WeaponRevolver.png,res://assets/sprites/Weapons/Range/WeaponRevolver.png,22|-1,0|0,1.0|1.0,res://anims/revolver_frames.tres,res://scenes/vfx/revolver_muzzle_flash.tscn,res://scenes/vfx/bullet_hit.tscn,res://assets/audio/RevolverShot.wav,straight,single,,0,1,0,0,0,0,0,1,"",0.5,-0.06,18,0.12,0,0
smg,冲锋枪%d级,range,4,1,0.88,0.3,0.04,1.4,280,0.8,0,12,0.06,0.08,0.09,1700,res://scenes/weapons/range/weapon_range_physical.tscn,res://scenes/projectiles/projectile_smg.tscn,res://assets/sprites/Weapons/Range/WeaponSMG.png,res://assets/sprites/Weapons/Range/WeaponSMG.png,18|-3,0|0,1.0|1.0,res://anims/smg_frames.tres,res://scenes/vfx/smg_muzzle_flash.tscn,res://scenes/vfx/bullet_hit.tscn,res://assets/audio/SMGFire.wav,straight,single,,0,1,0,0,0,0,0,1,"",0.4,-0.04,16,0.08,0,0
mace,钉锤%d级,melee,4,3,0.88,0.9,0.05,2.2,140,2.8,0,28,0.13,0.28,0.16,0,res://scenes/weapons/melee/weapon_melee_sector.tscn,,res://assets/sprites/Weapons/Melee/mace.png,res://assets/sprites/Weapons/Melee/mace.png,0|0,42|0,1.4|1.4,res://anims/sector_frames.tres,res://scenes/vfx/sector_attack.tscn,res://scenes/vfx/sector_hit.tscn,res://assets/audio/MaceSwing.wav,sector,,,100,1,0,0,0,0,0,1,"",0.55,-0.09,11,0.18,0,0
scimitar,弯刀%d级,melee,4,1.5,0.95,0.6,0.08,1.6,360,1.2,0.2,12,0.06,0.18,0.08,0,res://scenes/weapons/melee/weapon_melee_circle.tscn,,res://assets/sprites/Weapons/Melee/scimitar.png,res://assets/sprites/Weapons/Melee/scimitar.png,0|0,0|0,1.0|1.0,res://anims/circular_frames.tres,res://scenes/vfx/circular_attack.tscn,res://scenes/vfx/circular_hit.tscn,res://assets/audio/Slash.wav,circle,,,0,1,0,0,150,0,0,1,"",0.4,-0.07,10,0.1,0,0
heal_bolt,治疗弹%d级,range,4,0.8,0.95,0.5,0.05,1.4,320,0.5,0.3,8,0.05,0.09,0.09,1400,res://scenes/weapons/range/weapon_range_magic.tscn,res://scenes/projectiles/projectile_heal.tscn,res://assets/sprites/Weapons/Range/heal_wand.png,res://assets/sprites/Weapons/Range/heal_wand.png,10|0,0|0,1.0|1.0,res://anims/heal_frames.tres,res://scenes/vfx/heal_attack.tscn,res://scenes/vfx/heal_hit.tscn,res://assets/audio/Heal.wav,straight,magic,heal,0,1,0,0,25,0.6,0,1,"",0.5,-0.07,14,0.08,0,0
