"csv","full_path_hits","file_name_hits"
"config\audio\combat_sounds.csv","0","0"
"config\audio\environment_sounds.csv","0","0"
"config\audio\skill_sounds.csv","0","0"
"config\audio\ui_sounds.csv","0","0"
"config\enemy\boss_phase_config.csv","0","0"
"config\enemy\elite_enemies_config.csv","0","0"
"config\enemy\elite_evolution_config.csv","0","0"
"config\enemy\enemy_abilities.csv","0","0"
"config\enemy\enemy_config.csv","0","0"
"config\enemy\enemy_config_v2.csv","0","0"
"config\enemy\enemy_visual.csv","0","0"
"config\enemy\enemy_weapons.csv","0","0"
"config\item\chest_config.csv","0","0"
"config\item\emblem_config.csv","0","0"
"config\item\item_config.csv","0","0"
"config\item\item_effect_config.csv","0","0"
"config\item\shop_item_config.csv","0","0"
"config\item\upgrade_attributes.csv","0","0"
"config\player\attribute_upgrade.csv","0","0"
"config\player\bond_config.csv","0","0"
"config\player\bond_config_v3.csv","0","0"
"config\player\bond_config_v3_trial_246.csv","0","0"
"config\player\bond_resonance_config.csv","0","0"
"config\player\player_available_weapons.csv","0","0"
"config\player\player_config.csv","0","0"
"config\player\player_skill_bindings.csv","0","0"
"config\player\player_visual.csv","0","0"
"config\player\player_weapons.csv","0","0"
"config\player\skill_params_wide.csv","0","0"
"config\player\skill_params_wide_preset_baseline.csv","0","0"
"config\player\skill_params_wide_preset_fun.csv","0","0"
"config\player\skill_params_wide_preset_fun_tuned.csv","0","0"
"config\player\skill_params_wide_preset_hardcore.csv","0","0"
"config\player\skill_params_wide_trial_8roles.csv","0","0"
"config\player\skill_params_wide_trial_8roles_preset_baseline.csv","0","0"
"config\player\skill_params_wide_trial_8roles_preset_fun.csv","0","0"
"config\player\skill_params_wide_trial_8roles_preset_fun_tuned.csv","0","0"
"config\player\skill_params_wide_trial_8roles_preset_hardcore.csv","0","0"
"config\player\ult_config.csv","0","0"
"config\system\camera_config.csv","0","0"
"config\system\credits_config.csv","0","0"
"config\system\game_config.csv","0","0"
"config\system\input_config.csv","0","0"
"config\system\map_config.csv","0","0"
"config\system\sound_config.csv","0","0"
"config\system\ult_config.csv","0","0"
"config\wave\elite_spawn_config.csv","0","0"
"config\wave\elite_wave_config.csv","0","0"
"config\wave\shop_attribute_config.csv","0","0"
"config\wave\shop_wave_config.csv","0","0"
"config\wave\wave_chest_config.csv","0","0"
"config\wave\wave_config.csv","0","0"
"config\wave\wave_config_v2.csv","0","0"
"config\wave\wave_units_config.csv","0","0"
"config\wave\wave_units_config_v2.csv","0","0"
"config\weapon\weapon_config_optimized.csv","0","0"
