"ult_id","name","f_mode_id","f_internal_cd","f_q_line_amp","f_q_closure_amp","f_special_value_1","f_special_value_2","f_special_value_3"
"ammo_ult","火力链路","ammo","0.95","1.52","1.98","1.18","240.0","0.31"
"banner_ult","总攻军令","banner","0.98","1.46","1.92","1.10","260.0","0.32"
"blacksmith_ult","神工过热","blacksmith","1.00","1.50","1.98","1.16","235.0","0.23"
"butcher_ult","血之狂怒","butcher","0.90","1.55","2.05","1.35","220.0","0.30"
"executioner_ult","断罪时刻","executioner","1.00","1.50","2.06","1.27","230.0","0.32"
"gambler_ult","命运梭哈","gambler","1.12","1.40","1.88","1.02","245.0","0.50"
"glacier_ult","极夜冰环","glacier","1.05","1.40","1.90","1.10","240.0","0.34"
"goo_ult","裂变黏潮","goo","1.02","1.41","1.88","1.00","255.0","0.39"
"herder_ult","围猎号令","herder","0.95","1.48","1.96","1.18","250.0","0.30"
"hunter_ult","终猎季","hunter","0.95","1.51","1.99","1.19","255.0","0.34"
"illusionist_ult","镜域分身","illusionist","0.94","1.49","1.96","1.13","255.0","0.30"
"jailer_ult","终审禁域","jailer","1.05","1.43","1.93","1.08","250.0","0.33"
"medic_ult","战地总医院","medic","1.10","1.38","1.82","0.95","245.0","0.40"
"merchant_ult","黑市清算","merchant","1.08","1.36","1.82","0.90","240.0","0.45"
"midas_ult","黄金法典","midas","1.00","1.46","1.96","1.15","250.0","0.42"
"necro_ult","冥域行军","necro","1.00","1.44","1.94","1.09","250.0","0.36"
"new_pyro_ult","符炎圣典","new_pyro","0.88","1.58","2.08","1.28","245.0","0.24"
"new_tempest_ult","台风主宰","new_tempest","0.92","1.54","2.00","1.22","265.0","0.29"
"new_totem_ult","祖灵共鸣","new_totem","0.96","1.47","1.95","1.14","250.0","0.33"
"paladin_ult","圣谕降临","paladin","1.00","1.44","1.90","1.08","250.0","0.37"
"plague_ult","瘴界进化","plague","1.02","1.46","1.94","1.12","255.0","0.36"
"pyro_ult","炼狱化身","pyro","0.85","1.60","2.10","1.30","240.0","0.22"
"sapper_ult","爆破专家","sapper","0.90","1.52","2.02","1.25","230.0","0.26"
"swarm_ult","母巢解放","swarm","1.00","1.45","1.93","1.06","255.0","0.35"
"tesla_ult","雷暴并网","tesla","0.90","1.56","2.00","1.20","250.0","0.27"
"train_ult","钢轨狂飙","train","0.90","1.58","2.06","1.32","270.0","0.21"
"turret_eng_ult","战术超频","turret_eng","0.92","1.53","2.00","1.24","245.0","0.24"
"vacuum_ult","奇点牵引","vacuum","0.90","1.57","2.04","1.26","265.0","0.28"
"vampire_ult","猩红盛宴","vampire","0.95","1.50","2.00","1.20","235.0","0.38"
"voodoo_ult","大巫降神","voodoo","1.00","1.43","1.92","1.07","245.0","0.37"
"weaver_ult","万丝归巢","weaver","1.00","1.42","1.92","1.05","250.0","0.35"
"wind_ult","风之升华","wind","0.95","1.50","1.95","1.15","260.0","0.28"
