"role","line_status","line_damage_mul","line_ctrl","line_support","closure_status","closure_damage_mul","closure_ctrl","closure_support","tick_status","tick_damage_mul","tick_ctrl","tick_support"
"ammo","marked","1.08","//","/0.7/","marked","1.46","//","/1.4/","marked","0.90","//","/0.8/"
"banner","marked","0.92","/130.0/","//","marked","1.24","/190.0/","//","marked","0.72","//","//"
"blacksmith","burn","1.10","/125.0/","//","burn","1.48","/180.0/","//","burn","0.95","//","//"
"butcher","marked","1.18","/145.0/","//","curse","1.55","//0.30","//","marked","0.95","//","0.08//"
"executioner","marked","1.05","//0.20","//","marked","1.46","//0.40","//","marked","0.90","//0.26","//"
"gambler","marked","0.94","//","//1","marked","1.24","//","//2","marked","0.70","//","//1"
"glacier","slow","0.96","//","//","freeze","1.36","//","//","slow","0.80","//","//"
"goo","poison","0.88","//","//","poison","1.18","//","//","poison","0.70","//","//"
"herder","marked","1.00","/180.0/","//","marked","1.34","/230.0/","//","marked","0.82","/80.0/","//"
"hunter","marked","1.06","//","//","marked","1.50","//","//","marked","0.92","//","//"
"illusionist","marked","1.00","//","//","marked","1.34","//","//","marked","0.84","//","//"
"jailer","slow","0.94","/90.0/","//","stun","1.30","//","//","slow","0.76","//","//"
"medic","slow","0.78","//","0.12//","slow","1.12","//","0.30/1.0/","slow","0.62","//","0.16/0.6/"
"merchant","marked","0.72","//","/0.4/1","marked","1.05","//","/1.5/3","marked","0.56","//","/0.8/1"
"midas","slow","0.96","//","//1","slow","1.30","//","//2","slow","0.78","//","//1"
"necro","curse","0.92","//","//","curse","1.26","//","/1.1/","curse","0.78","//","/0.7/"
"new_pyro","burn","1.10","//","//","burn","1.64","//","//","burn","1.04","//","//"
"new_tempest","slow","1.00","20.0//","//","slow","1.46","40.0//","//","slow","0.92","16.0//","//"
"new_totem","marked","0.96","//","//","marked","1.30","//","/1.0/","marked","0.80","//","/0.7/"
"paladin","marked","0.96","//","0.10//","stun","1.30","//","0.24//","marked","0.78","//","0.12//"
"plague","poison","0.92","//","//","poison","1.28","//","//","poison","0.78","//","//"
"pyro","burn","1.12","//","//","burn","1.62","//","//","burn","1.05","//","//"
"sapper","marked","1.05","//","//","marked","1.66","/180.0/","//","marked","0.92","//","//"
"swarm","poison","0.90","//","//","poison","1.24","//","//","poison","0.74","//","//"
"tesla","marked","1.02","//","//","stun","1.48","//","//","marked","0.90","//","//"
"train","slow","1.16","/220.0/","//","slow","1.68","/260.0/","//","slow","1.00","/120.0/","//"
"turret_eng","marked","1.15","//","//","marked","1.58","//","//","marked","0.98","//","//"
"vacuum","slow","1.02","35.0//","//","slow","1.52","55.0//","//","slow","0.92","18.0//","//"
"vampire","curse","1.00","//","0.16//","curse","1.44","//","0.34//","curse","0.92","//","0.18//"
"voodoo","curse","0.94","//","//","curse","1.26","//","//","curse","0.78","//","//"
"weaver","slow","0.90","//","//","slow","1.28","25.0//","//","slow","0.72","//","//"
"wind","slow","0.96","22.0//","//","slow","1.32","38.0//","//","slow","0.78","12.0//","//"
