"gd","status","path_ref_count","class_name","class_ref_count","sample_path_ref","sample_class_ref"
"autoloads/ability_manager.gd","used_or_referenced","1","","0","project.godot:44",""
"autoloads/battle_state_manager.gd","used_or_referenced","1","","0","project.godot:46",""
"autoloads/bond_manager.gd","used_or_referenced","1","","0","project.godot:37",""
"autoloads/bond_ui_loader.gd","used_or_referenced","1","","0","project.godot:36",""
"autoloads/config_manager.gd","used_or_referenced","1","","0","project.godot:24",""
"autoloads/config_repository.gd","used_or_referenced","0","ConfigRepository","18","","autoloads/bond_manager.gd:54"
"autoloads/data_manager.gd","used_or_referenced","1","","0","project.godot:27",""
"autoloads/elite_config_manager.gd","used_or_referenced","1","","0","project.godot:31",""
"autoloads/emblem_manager.gd","used_or_referenced","1","","0","project.godot:40",""
"autoloads/equipment_manager.gd","used_or_referenced","1","","0","project.godot:34",""
"autoloads/global.gd","used_or_referenced","1","","0","project.godot:26",""
"autoloads/item_tooltip_helper.gd","used_or_referenced","1","","0","project.godot:48",""
"autoloads/item_weapon.gd","used_or_referenced","0","ItemWeapon","9","","scenes/unit/players/player_base.gd:317"
"autoloads/meta_progress_service.gd","used_or_referenced","0","MetaProgressService","4","","scenes/arena/arena_core.gd:1255"
"autoloads/modifier_manager.gd","used_or_referenced","1","","0","project.godot:41",""
"autoloads/pause_service.gd","used_or_referenced","0","PauseService","18","","autoloads/global.gd:801"
"autoloads/player_factory.gd","used_or_referenced","1","","0","project.godot:32",""
"autoloads/polygon_utils.gd","used_or_referenced","0","PolygonUtils","5","","scenes/skills/skill_drawing_base.gd:807"
"autoloads/progression_manager.gd","used_or_referenced","1","","0","project.godot:30",""
"autoloads/purchase_effect_pipeline.gd","used_or_referenced","0","PurchaseEffectPipeline","3","","autoloads/shop_manager.gd:358"
"autoloads/resonance_runtime_service.gd","used_or_referenced","1","","0","project.godot:38",""
"autoloads/run_state_service.gd","used_or_referenced","0","RunStateService","44","","autoloads/equipment_manager.gd:209"
"autoloads/run_telemetry_service.gd","used_or_referenced","1","","0","project.godot:39",""
"autoloads/save_facade.gd","used_or_referenced","0","SaveFacade","14","","scenes/arena/arena_core.gd:611"
"autoloads/save_manager.gd","used_or_referenced","1","","0","project.godot:28",""
"autoloads/shop_attribute_manager.gd","used_or_referenced","8","","0","tools/check_shop_usage.gd:79",""
"autoloads/shop_domain_service.gd","used_or_referenced","0","ShopDomainService","4","","autoloads/shop_manager.gd:313"
"autoloads/shop_manager.gd","used_or_referenced","6","","0","tools/check_shop_usage.gd:42",""
"autoloads/skill_effect_manager.gd","used_or_referenced","1","","0","project.godot:33",""
"autoloads/sound_manager.gd","used_or_referenced","1","","0","project.godot:25",""
"autoloads/upgrade_manager.gd","used_or_referenced","1","","0","project.godot:29",""
"autoloads/warehouse_manager.gd","used_or_referenced","1","","0","project.godot:35",""
"autoloads/weapon_config_loader.gd","used_or_referenced","1","","0","project.godot:45",""
"autoloads/weapon_stats.gd","used_or_referenced","0","WeaponStats","14","","autoloads/item_weapon.gd:14"
"resouce/waves/wave_data.gd","used_or_referenced","1","WaveData","1","resouce/waves/date/wave_1_to_5.tres:3","resouce/waves/date/wave_1_to_5.tres:1"
"resouce/waves/wave_unit.gd","likely_unused","0","WaveUnit","0","",""
"scenes/arena/arena.gd","used_or_referenced","1","Arena","162","scenes/arena/arena.tscn:3","autoloads/battle_state_manager.gd:166"
"scenes/arena/arena_core.gd","used_or_referenced","1","ArenaCore","0","scenes/arena/arena.gd:1",""
"scenes/arena/background_manager.gd","used_or_referenced","1","BackgroundManager","1","scenes/arena/arena.tscn:6","scenes/arena/arena.tscn:36"
"scenes/arena/battle_flow_controller.gd","used_or_referenced","0","BattleFlowController","3","","scenes/arena/arena_core.gd:34"
"scenes/arena/camera_2d.gd","used_or_referenced","1","Camera","15","scenes/arena/arena.tscn:5","scenes/arena/background_manager.gd:20"
"scenes/arena/chest_manager.gd","used_or_referenced","1","ChestManager","4","scenes/arena/arena.tscn:7","scenes/arena/arena_core.gd:13"
"scenes/arena/debug_switcher.gd","used_or_referenced","1","","0","project.godot:47",""
"scenes/arena/services/reward_flow_service.gd","used_or_referenced","0","RewardFlowService","2","","scenes/arena/battle_flow_controller.gd:10"
"scenes/arena/services/run_save_service.gd","used_or_referenced","0","RunSaveService","3","","scenes/arena/battle_flow_controller.gd:11"
"scenes/arena/services/shop_flow_service.gd","used_or_referenced","0","ShopFlowService","4","","scenes/arena/battle_flow_controller.gd:9"
"scenes/arena/spawner.gd","used_or_referenced","1","Spawner","66","scenes/arena/arena.tscn:9","autoloads/battle_state_manager.gd:334"
"scenes/arena/wave_reward_system.gd","used_or_referenced","1","","0","scenes/arena/arena_core.gd:1105",""
"scenes/components/abilities/ability_base.gd","used_or_referenced","0","AbilityBase","4","","autoloads/ability_manager.gd:119"
"scenes/components/abilities/charge_ability.gd","used_or_referenced","1","ChargeAbility","0","autoloads/ability_manager.gd:21",""
"scenes/components/abilities/poison_pool_ability.gd","used_or_referenced","1","PoisonPoolAbility","0","autoloads/ability_manager.gd:11",""
"scenes/components/abilities/shooting_ability.gd","used_or_referenced","1","ShootingAbility","0","autoloads/ability_manager.gd:16",""
"scenes/components/health_component.gd","used_or_referenced","2","HealthComponent","169","scenes/components/health_component.tscn:3","autoloads/global.gd:897"
"scenes/components/hitbox_component.gd","used_or_referenced","13","HitboxComponent","48","tools/create_weapon_scenes_tool.gd:87","autoloads/global.gd:6"
"scenes/components/hurtbox_component.gd","used_or_referenced","1","HurtboxComponent","19","scenes/components/hurtbox_component.tscn:3","scenes/components/hitbox_component.gd:6"
"scenes/components/status_component.gd","used_or_referenced","0","StatusComponent","9","","scenes/arena/arena_core.gd:1358"
"scenes/items/chest.gd","used_or_referenced","1","Chest","54","scenes/items/chest.tscn:3","autoloads/battle_state_manager.gd:263"
"scenes/items/chest_simple.gd","used_or_referenced","1","ChestSimple","5","scenes/items/chest_simple.tscn:3","scenes/arena/arena_core.gd:27"
"scenes/items/gold_coin.gd","used_or_referenced","1","GoldCoin","2","scenes/items/gold_coin.tscn:3","scenes/skills/players/skill_vacuum_e.gd:74"
"scenes/particles/explosion.gd","used_or_referenced","1","","0","scenes/particles/Explosion.tscn:3",""
"scenes/projectiles/meat_stake.gd","used_or_referenced","0","MeatStake","2","","scenes/skills/players/skill_meat_stake.gd:89"
"scenes/projectiles/projectile.gd","used_or_referenced","1","Projectile","41","scenes/projectiles/projectile_pistol.tscn:4","autoloads/skill_effect_manager.gd:388"
"scenes/projectiles/saw_projectile.gd","used_or_referenced","0","SawProjectile","1","","scenes/skills/players/skill_saw_path.gd:423"
"scenes/skills/players/skill_ammo_e.gd","likely_unused","0","SkillAmmoE","0","",""
"scenes/skills/players/skill_ammo_q.gd","likely_unused","0","SkillAmmoQ","0","",""
"scenes/skills/players/skill_banner_e.gd","likely_unused","0","SkillBannerE","0","",""
"scenes/skills/players/skill_banner_q.gd","likely_unused","0","SkillBannerQ","0","",""
"scenes/skills/players/skill_blacksmith_e.gd","likely_unused","0","SkillBlacksmithE","0","",""
"scenes/skills/players/skill_blacksmith_q.gd","likely_unused","0","SkillBlacksmithQ","0","",""
"scenes/skills/players/skill_butcher_e.gd","likely_unused","0","SkillButcherE","0","",""
"scenes/skills/players/skill_dash.gd","likely_unused","0","SkillDash","0","",""
"scenes/skills/players/skill_executioner_e.gd","likely_unused","0","SkillExecutionerE","0","",""
"scenes/skills/players/skill_executioner_q.gd","likely_unused","0","SkillExecutionerQ","0","",""
"scenes/skills/players/skill_fire_nova.gd","likely_unused","0","SkillFireNova","0","",""
"scenes/skills/players/skill_fire_path.gd","likely_unused","0","SkillFirePath","0","",""
"scenes/skills/players/skill_fire_path_refactored.gd","likely_unused","0","SkillFirePathRefactored","0","",""
"scenes/skills/players/skill_gambler_e.gd","likely_unused","0","SkillGamblerE","0","",""
"scenes/skills/players/skill_gambler_q.gd","likely_unused","0","SkillGamblerQ","0","",""
"scenes/skills/players/skill_glacier_e.gd","likely_unused","0","SkillGlacierE","0","",""
"scenes/skills/players/skill_glacier_q.gd","likely_unused","0","SkillGlacierQ","0","",""
"scenes/skills/players/skill_goo_e.gd","likely_unused","0","SkillGooE","0","",""
"scenes/skills/players/skill_goo_q.gd","likely_unused","0","SkillGooQ","0","",""
"scenes/skills/players/skill_herder_e.gd","likely_unused","0","SkillHerderE","0","",""
"scenes/skills/players/skill_herder_explosion.gd","likely_unused","0","SkillHerderExplosion","0","",""
"scenes/skills/players/skill_herder_loop.gd","used_or_referenced","0","SkillHerderLoop","1","","scenes/unit/players/player_herder.gd:97"
"scenes/skills/players/skill_herder_loop_refactored.gd","likely_unused","0","SkillHerderLoopRefactored","0","",""
"scenes/skills/players/skill_hunter_e.gd","likely_unused","0","SkillHunterE","0","",""
"scenes/skills/players/skill_hunter_q.gd","likely_unused","0","SkillHunterQ","0","",""
"scenes/skills/players/skill_illusionist_e.gd","likely_unused","0","SkillIllusionistE","0","",""
"scenes/skills/players/skill_illusionist_q.gd","likely_unused","0","SkillIllusionistQ","0","",""
"scenes/skills/players/skill_jailer_e.gd","likely_unused","0","SkillJailerE","0","",""
"scenes/skills/players/skill_jailer_q.gd","likely_unused","0","SkillJailerQ","0","",""
"scenes/skills/players/skill_meat_stake.gd","likely_unused","0","SkillMeatStake","0","",""
"scenes/skills/players/skill_medic_e.gd","likely_unused","0","SkillMedicE","0","",""
"scenes/skills/players/skill_medic_q.gd","likely_unused","0","SkillMedicQ","0","",""
"scenes/skills/players/skill_merchant_e.gd","likely_unused","0","SkillMerchantE","0","",""
"scenes/skills/players/skill_merchant_q.gd","likely_unused","0","SkillMerchantQ","0","",""
"scenes/skills/players/skill_midas_e.gd","likely_unused","0","SkillMidasE","0","",""
"scenes/skills/players/skill_midas_q.gd","likely_unused","0","SkillMidasQ","0","",""
"scenes/skills/players/skill_mine_path.gd","likely_unused","0","SkillMinePath","0","",""
"scenes/skills/players/skill_mine_path_refactored.gd","likely_unused","0","SkillMinePathRefactored","0","",""
"scenes/skills/players/skill_necro_e.gd","likely_unused","0","SkillNecroE","0","",""
"scenes/skills/players/skill_necro_q.gd","likely_unused","0","SkillNecroQ","0","",""
"scenes/skills/players/skill_new_pyro_e.gd","likely_unused","0","SkillNewPyroE","0","",""
"scenes/skills/players/skill_new_pyro_q.gd","likely_unused","0","SkillNewPyroQ","0","",""
"scenes/skills/players/skill_new_tempest_e.gd","likely_unused","0","SkillNewTempestE","0","",""
"scenes/skills/players/skill_new_tempest_q.gd","likely_unused","0","SkillNewTempestQ","0","",""
"scenes/skills/players/skill_new_totem_e.gd","likely_unused","0","SkillNewTotemE","0","",""
"scenes/skills/players/skill_new_totem_q.gd","likely_unused","0","SkillNewTotemQ","0","",""
"scenes/skills/players/skill_paladin_e.gd","likely_unused","0","SkillPaladinE","0","",""
"scenes/skills/players/skill_paladin_q.gd","likely_unused","0","SkillPaladinQ","0","",""
"scenes/skills/players/skill_plague_e.gd","likely_unused","0","SkillPlagueE","0","",""
"scenes/skills/players/skill_plague_q.gd","likely_unused","0","SkillPlagueQ","0","",""
"scenes/skills/players/skill_pyro_e.gd","likely_unused","0","SkillPyroE","0","",""
"scenes/skills/players/skill_sapper_e.gd","likely_unused","0","SkillSapperE","0","",""
"scenes/skills/players/skill_saw_path.gd","used_or_referenced","0","SkillSawPath","1","","scenes/unit/players/player_butcher.gd:119"
"scenes/skills/players/skill_saw_path_refactored.gd","likely_unused","0","SkillSawPathRefactored","0","",""
"scenes/skills/players/skill_storm_eye.gd","likely_unused","0","SkillStormEye","0","",""
"scenes/skills/players/skill_stun_bomb.gd","likely_unused","0","SkillStunBomb","0","",""
"scenes/skills/players/skill_swarm_e.gd","likely_unused","0","SkillSwarmE","0","",""
"scenes/skills/players/skill_swarm_q.gd","likely_unused","0","SkillSwarmQ","0","",""
"scenes/skills/players/skill_tesla_e.gd","likely_unused","0","SkillTeslaE","0","",""
"scenes/skills/players/skill_tesla_q.gd","likely_unused","0","SkillTeslaQ","0","",""
"scenes/skills/players/skill_totem.gd","likely_unused","0","SkillTotem","0","",""
"scenes/skills/players/skill_train_e.gd","likely_unused","0","SkillTrainE","0","",""
"scenes/skills/players/skill_train_q.gd","likely_unused","0","SkillTrainQ","0","",""
"scenes/skills/players/skill_turret_e.gd","likely_unused","0","SkillTurretE","0","",""
"scenes/skills/players/skill_turret_q.gd","likely_unused","0","SkillTurretQ","0","",""
"scenes/skills/players/skill_ultimate_butcher.gd","likely_unused","0","SkillUltimateButcher","0","",""
"scenes/skills/players/skill_ultimate_executioner.gd","likely_unused","0","SkillUltimateExecutioner","0","",""
"scenes/skills/players/skill_ultimate_gambler.gd","likely_unused","0","SkillUltimateGambler","0","",""
"scenes/skills/players/skill_ultimate_hunter.gd","likely_unused","0","SkillUltimateHunter","0","",""
"scenes/skills/players/skill_ultimate_merchant.gd","likely_unused","0","SkillUltimateMerchant","0","",""
"scenes/skills/players/skill_ultimate_midas.gd","likely_unused","0","SkillUltimateMidas","0","",""
"scenes/skills/players/skill_ultimate_pyro.gd","likely_unused","0","SkillUltimatePyro","0","",""
"scenes/skills/players/skill_ultimate_qef_v3.gd","used_or_referenced","1","SkillUltimateQEFV3","0","scenes/unit/players/player_base.gd:987",""
"scenes/skills/players/skill_ultimate_sapper.gd","likely_unused","0","SkillUltimateSapper","0","",""
"scenes/skills/players/skill_ultimate_vacuum.gd","likely_unused","0","SkillUltimateVacuum","0","",""
"scenes/skills/players/skill_vacuum_e.gd","likely_unused","0","SkillVacuumE","0","",""
"scenes/skills/players/skill_vacuum_q.gd","likely_unused","0","SkillVacuumQ","0","",""
"scenes/skills/players/skill_vampire_e.gd","likely_unused","0","SkillVampireE","0","",""
"scenes/skills/players/skill_vampire_q.gd","likely_unused","0","SkillVampireQ","0","",""
"scenes/skills/players/skill_voodoo_e.gd","likely_unused","0","SkillVoodooE","0","",""
"scenes/skills/players/skill_voodoo_q.gd","likely_unused","0","SkillVoodooQ","0","",""
"scenes/skills/players/skill_weaver_e.gd","likely_unused","0","SkillWeaverE","0","",""
"scenes/skills/players/skill_web_weave.gd","used_or_referenced","0","SkillWebWeave","1","","scenes/unit/players/player_weaver.gd:111"
"scenes/skills/players/skill_web_weave_refactored.gd","likely_unused","0","SkillWebWeaveRefactored","0","",""
"scenes/skills/players/skill_wind_e.gd","likely_unused","0","SkillWindE","0","",""
"scenes/skills/players/skill_wind_path.gd","likely_unused","0","SkillWindPath","0","",""
"scenes/skills/players/skill_wind_path_refactored.gd","likely_unused","0","SkillWindPathRefactored","0","",""
"scenes/skills/skill_base.gd","used_or_referenced","0","SkillBase","53","","scenes/skills/skill_drawing_base.gd:1"
"scenes/skills/skill_drawing_base.gd","used_or_referenced","0","SkillDrawingBase","37","","scenes/skills/players/skill_ammo_q.gd:1"
"scenes/skills/skill_manager.gd","used_or_referenced","0","SkillManager","94","","scenes/arena/arena_core.gd:1182"
"scenes/skills/skill_ultimate_base.gd","used_or_referenced","1","SkillUltimate","11","scenes/unit/players/player_base.gd:989","scenes/skills/players/skill_ultimate_butcher.gd:1"
"scenes/ui/bond_hud/bond_hud.gd","used_or_referenced","1","BondHUD","10","scenes/ui/bond_hud/bond_hud.tscn:3","scenes/arena/arena_core.gd:406"
"scenes/ui/bond_hud/bond_icon.gd","used_or_referenced","1","BondIcon","4","scenes/ui/bond_hud/bond_icon.tscn:3","scenes/ui/bond_hud/bond_hud.gd:115"
"scenes/ui/chest_indicator.gd","used_or_referenced","1","ChestIndicator","3","scenes/ui/chest_indicator.tscn:3","scenes/arena/arena_core.gd:15"
"scenes/ui/components/bond_summary_item.gd","used_or_referenced","1","BondSummaryItem","2","scenes/ui/components/bond_summary_item.tscn:3","scenes/ui/selection_panel/selection_panel.gd:705"
"scenes/ui/energy_bar.gd","used_or_referenced","1","EnergyBar","8","scenes/ui/energy_bar_auto_setup.gd:24","scenes/ui/energy_bar_auto_setup.gd:16"
"scenes/ui/energy_bar_auto_setup.gd","likely_unused","0","","0","",""
"scenes/ui/equipped_panel.gd","used_or_referenced","1","EquippedPanel","2","scenes/ui/equipped_panel.tscn:3","scenes/ui/warehouse_ui.gd:262"
"scenes/ui/exit_confirm_dialog.gd","used_or_referenced","1","ExitConfirmDialog","5","scenes/ui/exit_confirm_dialog.tscn:3","scenes/arena/arena_core.gd:16"
"scenes/ui/floating_text.gd","used_or_referenced","1","FloatingText","4","scenes/ui/floating_text.tscn:3","scenes/arena/arena_core.gd:190"
"scenes/ui/game_over/game_over_screen.gd","used_or_referenced","1","GameOverScreen","2","scenes/ui/game_over/game_over_screen.tscn:3","scenes/arena/arena_core.gd:28"
"scenes/ui/global_hud/global_hud.gd","used_or_referenced","1","GlobalHUD","3","scenes/ui/global_hud/global_hud.tscn:3","scenes/arena/arena_core.gd:10"
"scenes/ui/health_bar.gd","used_or_referenced","1","HealthBar","8","scenes/ui/health_bar.tscn:3","scenes/ui/squad_hud/character_slot.gd:8"
"scenes/ui/main_menu/background_lines.gd","used_or_referenced","1","","0","scenes/ui/main_menu/title_screen.tscn:6",""
"scenes/ui/main_menu/compendium_detail_panel.gd","used_or_referenced","1","","0","scenes/ui/main_menu/compendium_detail_panel.tscn:3",""
"scenes/ui/main_menu/compendium_screen.gd","used_or_referenced","1","","0","scenes/ui/main_menu/compendium_screen.tscn:3",""
"scenes/ui/main_menu/confirm_dialog.gd","used_or_referenced","1","ConfirmDialog","6","scenes/ui/main_menu/confirm_dialog.tscn:3","scenes/ui/main_menu/main_menu_root.gd:9"
"scenes/ui/main_menu/credits_item.gd","used_or_referenced","1","","0","scenes/ui/main_menu/credits_item.tscn:3",""
"scenes/ui/main_menu/credits_screen.gd","used_or_referenced","1","","0","scenes/ui/main_menu/credits_screen.tscn:3",""
"scenes/ui/main_menu/main_menu.gd","used_or_referenced","1","","0","scenes/ui/main_menu/main_menu.tscn:3",""
"scenes/ui/main_menu/main_menu_root.gd","used_or_referenced","1","","0","scenes/ui/main_menu/main_menu_root.tscn:3",""
"scenes/ui/main_menu/menu_button.gd","used_or_referenced","1","","0","scenes/ui/main_menu/menu_button.tscn:3",""
"scenes/ui/main_menu/save_slot_card.gd","used_or_referenced","1","","0","scenes/ui/main_menu/save_slot_card.tscn:3",""
"scenes/ui/main_menu/save_slot_panel.gd","used_or_referenced","1","","0","scenes/ui/main_menu/save_slot_panel.tscn:3",""
"scenes/ui/main_menu/settings_panel.gd","used_or_referenced","1","","0","scenes/ui/main_menu/settings_panel.tscn:3",""
"scenes/ui/main_menu/splash_screen.gd","used_or_referenced","1","","0","scenes/ui/main_menu/splash_screen.tscn:3",""
"scenes/ui/main_menu/title_screen.gd","used_or_referenced","1","","0","scenes/ui/main_menu/title_screen.tscn:3",""
"scenes/ui/pause_menu/pause_menu.gd","used_or_referenced","1","PauseMenu","3","scenes/ui/pause_menu/pause_menu.tscn:3","scenes/arena/arena_core.gd:18"
"scenes/ui/selection_panel/character_upgrade.gd","used_or_referenced","1","CharacterUpgradePanel","3","scenes/ui/selection_panel/character_upgrade.tscn:3","scenes/ui/wave_reward/wave_reward_panel.gd:19"
"scenes/ui/selection_panel/player_select_button.gd","used_or_referenced","0","PlayerSelectButton","3","","scenes/ui/selection_panel/selection_panel.gd:424"
"scenes/ui/selection_panel/selected_slot_button.gd","used_or_referenced","0","SelectedSlotButton","1","","scenes/ui/selection_panel/selection_panel.gd:475"
"scenes/ui/selection_panel/selection_panel.gd","used_or_referenced","1","SelectionPanel","9","scenes/ui/selection_panel/selection_panel.tscn:4","autoloads/save_facade.gd:162"
"scenes/ui/shop_panel/attribute_shop_panel.gd","used_or_referenced","2","AttributeShopPanel","4","tools/setup_dual_shop.gd:63","tools/setup_dual_shop.gd:130"
"scenes/ui/shop_panel/shop_item_card.gd","used_or_referenced","1","ShopItemCard","4","scenes/ui/shop_panel/shop_item_card.tscn:3","scenes/ui/shop_panel/shop_panel.gd:106"
"scenes/ui/shop_panel/shop_panel.gd","used_or_referenced","2","ShopPanel","8","tools/setup_dual_shop.gd:62","scenes/arena/arena_core.gd:17"
"scenes/ui/squad_hud/character_slot.gd","used_or_referenced","1","CharacterSlot","3","scenes/ui/squad_hud/character_slot.tscn:3","scenes/ui/squad_hud/squad_hud.gd:12"
"scenes/ui/squad_hud/squad_hud.gd","used_or_referenced","1","SquadHUD","3","scenes/ui/squad_hud/squad_hud.tscn:3","scenes/arena/arena_core.gd:11"
"scenes/ui/upgrade_selection_ui.gd","used_or_referenced","1","UpgradeSelectionUI","4","scenes/ui/upgrade_selection_ui.tscn:3","scenes/arena/arena_core.gd:14"
"scenes/ui/warehouse_ui.gd","used_or_referenced","1","WarehouseUI","2","scenes/ui/warehouse_ui.tscn:3","scenes/ui/selection_panel/character_upgrade.gd:512"
"scenes/ui/wave_reward/reward_card.gd","used_or_referenced","1","RewardCard","5","scenes/ui/wave_reward/reward_card.tscn:3","scenes/ui/wave_reward/wave_reward_panel.gd:18"
"scenes/ui/wave_reward/wave_reward_panel.gd","used_or_referenced","1","WaveRewardPanel","7","scenes/ui/wave_reward/wave_reward_panel.tscn:3","scenes/arena/arena_core.gd:32"
"scenes/ui/wildcard/wildcard_panel.gd","used_or_referenced","1","WildcardPanel","8","scenes/ui/wildcard/wildcard_panel.tscn:3","scenes/arena/arena_core.gd:39"
"scenes/unit/enemy/charge_behavior.gd","likely_unused","0","ChargeBehavior","0","",""
"scenes/unit/enemy/elites/enemy_elites.gd","used_or_referenced","0","EnemyElites","4","","scenes/unit/enemy/enemy.gd:998"
"scenes/unit/enemy/elites/enemy_glutton.gd","used_or_referenced","1","EnemyGlutton","1","scenes/unit/enemy/elites/enemy_glutton.tscn:5","scenes/unit/enemy/elites/enemy_glutton.tscn:25"
"scenes/unit/enemy/enemy.gd","used_or_referenced","1","Enemy","1330","scenes/unit/enemy/enemy_generic.tscn:5","autoloads/ability_manager.gd:44"
"scenes/unit/enemy/shooting_behavior.gd","used_or_referenced","1","ShootingBehavior","3","scenes/unit/enemy/enemy.gd:354","scenes/unit/enemy/enemy.gd:340"
"scenes/unit/players/player_ammo.gd","likely_unused","0","PlayerAmmo","0","",""
"scenes/unit/players/player_banner.gd","likely_unused","0","PlayerBanner","0","",""
