"gd","status","path_ref_count","class_name","class_ref_count","sample_path_ref","sample_class_ref"
"autoloads/ability_manager.gd","runtime_used_or_referenced","1","","0","project.godot:44",""
"autoloads/battle_state_manager.gd","runtime_used_or_referenced","1","","0","project.godot:46",""
"autoloads/bond_manager.gd","runtime_used_or_referenced","1","","0","project.godot:37",""
"autoloads/bond_ui_loader.gd","runtime_used_or_referenced","1","","0","project.godot:36",""
"autoloads/config_manager.gd","runtime_used_or_referenced","1","","0","project.godot:24",""
"autoloads/config_repository.gd","runtime_used_or_referenced","0","ConfigRepository","18","","autoloads/bond_manager.gd:54"
"autoloads/data_manager.gd","runtime_used_or_referenced","1","","0","project.godot:27",""
"autoloads/elite_config_manager.gd","runtime_used_or_referenced","1","","0","project.godot:31",""
"autoloads/emblem_manager.gd","runtime_used_or_referenced","1","","0","project.godot:40",""
"autoloads/equipment_manager.gd","runtime_used_or_referenced","1","","0","project.godot:34",""
"autoloads/global.gd","runtime_used_or_referenced","1","","0","project.godot:26",""
"autoloads/item_tooltip_helper.gd","runtime_used_or_referenced","1","","0","project.godot:48",""
"autoloads/item_weapon.gd","runtime_used_or_referenced","0","ItemWeapon","9","","scenes/unit/players/player_base.gd:317"
"autoloads/meta_progress_service.gd","runtime_used_or_referenced","0","MetaProgressService","4","","scenes/arena/arena_core.gd:1255"
"autoloads/modifier_manager.gd","runtime_used_or_referenced","1","","0","project.godot:41",""
"autoloads/pause_service.gd","runtime_used_or_referenced","0","PauseService","18","","autoloads/global.gd:801"
"autoloads/player_factory.gd","runtime_used_or_referenced","1","","0","project.godot:32",""
"autoloads/polygon_utils.gd","runtime_used_or_referenced","0","PolygonUtils","5","","scenes/skills/skill_drawing_base.gd:807"
"autoloads/progression_manager.gd","runtime_used_or_referenced","1","","0","project.godot:30",""
"autoloads/purchase_effect_pipeline.gd","runtime_used_or_referenced","0","PurchaseEffectPipeline","3","","autoloads/shop_manager.gd:358"
"autoloads/resonance_runtime_service.gd","runtime_used_or_referenced","1","","0","project.godot:38",""
"autoloads/run_state_service.gd","runtime_used_or_referenced","0","RunStateService","44","","autoloads/equipment_manager.gd:209"
"autoloads/run_telemetry_service.gd","runtime_used_or_referenced","1","","0","project.godot:39",""
"autoloads/save_facade.gd","runtime_used_or_referenced","0","SaveFacade","14","","scenes/arena/arena_core.gd:611"
"autoloads/save_manager.gd","runtime_used_or_referenced","1","","0","project.godot:28",""
"autoloads/shop_attribute_manager.gd","runtime_used_or_referenced","1","","0","project.godot:43",""
"autoloads/shop_domain_service.gd","runtime_used_or_referenced","0","ShopDomainService","4","","autoloads/shop_manager.gd:313"
"autoloads/shop_manager.gd","runtime_used_or_referenced","1","","0","project.godot:42",""
"autoloads/skill_effect_manager.gd","runtime_used_or_referenced","1","","0","project.godot:33",""
"autoloads/sound_manager.gd","runtime_used_or_referenced","1","","0","project.godot:25",""
"autoloads/upgrade_manager.gd","runtime_used_or_referenced","1","","0","project.godot:29",""
"autoloads/warehouse_manager.gd","runtime_used_or_referenced","1","","0","project.godot:35",""
"autoloads/weapon_config_loader.gd","runtime_used_or_referenced","1","","0","project.godot:45",""
"autoloads/weapon_stats.gd","runtime_used_or_referenced","0","WeaponStats","14","","autoloads/item_weapon.gd:14"
"resouce/waves/wave_data.gd","runtime_used_or_referenced","1","WaveData","1","resouce/waves/date/wave_1_to_5.tres:3","resouce/waves/date/wave_1_to_5.tres:1"
"resouce/waves/wave_unit.gd","no_runtime_reference","0","WaveUnit","0","",""
"scenes/arena/arena.gd","runtime_used_or_referenced","1","Arena","162","scenes/arena/arena.tscn:3","autoloads/battle_state_manager.gd:166"
"scenes/arena/arena_core.gd","runtime_used_or_referenced","1","ArenaCore","0","scenes/arena/arena.gd:1",""
"scenes/arena/background_manager.gd","runtime_used_or_referenced","1","BackgroundManager","1","scenes/arena/arena.tscn:6","scenes/arena/arena.tscn:36"
"scenes/arena/battle_flow_controller.gd","runtime_used_or_referenced","0","BattleFlowController","3","","scenes/arena/arena_core.gd:34"
"scenes/arena/camera_2d.gd","runtime_used_or_referenced","1","Camera","15","scenes/arena/arena.tscn:5","scenes/arena/background_manager.gd:20"
"scenes/arena/chest_manager.gd","runtime_used_or_referenced","1","ChestManager","4","scenes/arena/arena.tscn:7","scenes/arena/arena_core.gd:13"
"scenes/arena/debug_switcher.gd","runtime_used_or_referenced","1","","0","project.godot:47",""
"scenes/arena/services/reward_flow_service.gd","runtime_used_or_referenced","0","RewardFlowService","2","","scenes/arena/battle_flow_controller.gd:10"
"scenes/arena/services/run_save_service.gd","runtime_used_or_referenced","0","RunSaveService","3","","scenes/arena/battle_flow_controller.gd:11"
"scenes/arena/services/shop_flow_service.gd","runtime_used_or_referenced","0","ShopFlowService","4","","scenes/arena/battle_flow_controller.gd:9"
"scenes/arena/spawner.gd","runtime_used_or_referenced","1","Spawner","66","scenes/arena/arena.tscn:9","autoloads/battle_state_manager.gd:334"
"scenes/arena/wave_reward_system.gd","runtime_used_or_referenced","1","","0","scenes/arena/arena_core.gd:1105",""
"scenes/components/abilities/ability_base.gd","runtime_used_or_referenced","0","AbilityBase","4","","autoloads/ability_manager.gd:119"
