"role","q_script","line_calls","area_calls","line_debuff","area_debuff","line_buff","area_buff","line_custom","area_custom","key_vars"
"ammo","skill_ammo_q","debuff_zone","buff_zone","damage_amp","","","attack_boost|cooldown_reduction","","","var line_damage_amp: float = 0.22 | var line_damage: int = 10 | var supply_cooldown_reduction: float = 0.22 | var buff_duration: float = 5.0"
"banner","skill_banner_q","buff_zone","debuff_zone","","damage_amp|fear","ignore_collision|speed_boost","","","","var debuff_duration: float = 5.0 | var fear_duration: float = 0.9"
"blacksmith","skill_blacksmith_q","wall_effect","buff_zone","","","","attack_boost|lifesteal","","","var rail_contact_damage: int = 18 | var rail_contact_interval: float = 0.35 | var forge_lifesteal: float = 0.18 | var buff_duration: float = 5.5"
"butcher","skill_saw_path","wall_effect","area_effect|debuff_zone","","slow","","","_apply_segment_knockback","_apply_dismember_damage","var saw_damage_open: int = 24 | var saw_contact_interval: float = 0.20 | var saw_area_damage: int = 46 | var saw_area_interval: float = 0.26 | var closure_duration: float = 6.0 | var chain_radius: float = 280.0 | var saw_push_force: float = 1200.0 | var dismember_damage: int = 220"
"executioner","skill_executioner_q","debuff_zone","area_effect|debuff_zone","damage_amp","fear","","","","","var damage_amp_value: float = 0.45 | var damage_amp_duration: float = 4.5 | var guillotine_damage: int = 120 | var guillotine_duration: float = 1.2 | var line_bleed_damage: int = 16 | var line_tick_interval: float = 0.45 | var execute_fear_duration: float = 0.8"
"gambler","skill_gambler_q","debuff_zone","area_effect|buff_zone|debuff_zone","damage_amp","damage_amp|fear","","attack_boost|cooldown_reduction|speed_boost","","_roll_area_outcome","var zone_duration: float = 5.5 | var line_bonus_damage: int = 10 | var jackpot_bonus_cooldown: float = 0.28 | var jackpot_damage: int = 28"
"glacier","skill_glacier_q","wall_effect","area_effect|debuff_zone","","freeze|slow","","","","","var wall_duration: float = 5.0 | var freeze_duration: float = 2.0 | var frost_contact_damage: int = 12 | var frost_contact_interval: float = 0.45 | var blizzard_damage: int = 18 | var deep_slow: float = 0.62"
"goo","skill_goo_q","debuff_zone","area_effect|debuff_zone|summon","poison|slow","slow","","","","","var slow_value: float = 0.88 | var slow_duration: float = 4.0 | var pool_damage: int = 24 | var pool_duration: float = 5.5 | var slime_count: int = 3 | var goo_poison_value: float = 9.0 | var split_radius: float = 52.0"
"herder","skill_herder_loop_refactored","debuff_zone|wall_effect","area_effect|debuff_zone","damage_amp","damage_amp|slow","","","_apply_herd_knockback","_apply_execute_sweep|_apply_herder_rewards","var dash_base_damage: int = 38 | var dash_knockback: float = 2.8 | var pack_mark_damage_amp: float = 0.20 | var pen_duration: float = 5.8 | var execute_bonus_damage: int = 120 | var execute_threshold_ratio: float = 0.35 | var energy_refund_ratio: float = 0.45 | var pen_pull_force: float = 260.0"
"hunter","skill_hunter_q","debuff_zone","area_effect|debuff_zone","freeze|slow","damage_amp|freeze","","","","","var slow_value: float = 0.5 | var slow_duration: float = 3.0 | var freeze_duration: float = 2.0 | var trap_duration: float = 8.0 | var trap_damage: int = 14 | var mark_damage_amp: float = 0.28 | var burst_damage: int = 24"
"illusionist","skill_illusionist_q","debuff_zone|wall_effect","debuff_zone|summon","damage_amp","fear","","","","","var wall_duration: float = 5.5 | var phantom_damage: int = 18 | var phantom_duration: float = 10.0 | var phantom_count: int = 3 | var mirror_mark_amp: float = 0.2 | var mirror_fear_duration: float = 0.75"
"jailer","skill_jailer_q","wall_effect","debuff_zone|wall_effect","","fear|slow","","","","","var wall_contact_damage: int = 22 | var wall_duration: float = 6.5 | var prison_slow_value: float = 0.58 | var prison_fear_duration: float = 0.6"
