"role","q_script","q_line_calls","q_line_state","q_area_calls","q_area_state","q_extra","f_name","f_internal_cd","f_q_line_amp","f_q_closure_amp","f_special","f_line","f_closure","f_tick"
"ammo","skill_ammo_q","debuff_zone","damage_amp","buff_zone","attack_boost|cooldown_reduction","","火力链路","0.95","1.52","1.98","s1=1.18,s2=240.0,s3=0.31","marked dmgx1.08 ctrl[//] sup[/0.7/]","marked dmgx1.46 ctrl[//] sup[/1.4/]","marked dmgx0.90 ctrl[//] sup[/0.8/]"
"banner","skill_banner_q","buff_zone","ignore_collision|speed_boost","debuff_zone","damage_amp|fear","","总攻军令","0.98","1.46","1.92","s1=1.10,s2=260.0,s3=0.32","marked dmgx0.92 ctrl[/130.0/] sup[//]","marked dmgx1.24 ctrl[/190.0/] sup[//]","marked dmgx0.72 ctrl[//] sup[//]"
"blacksmith","skill_blacksmith_q","wall_effect","","buff_zone","attack_boost|lifesteal","","神工过热","1.00","1.50","1.98","s1=1.16,s2=235.0,s3=0.23","burn dmgx1.10 ctrl[/125.0/] sup[//]","burn dmgx1.48 ctrl[/180.0/] sup[//]","burn dmgx0.95 ctrl[//] sup[//]"
"butcher","skill_saw_path","wall_effect","","area_effect|debuff_zone","slow","_apply_segment_knockback|_apply_dismember_damage","血之狂怒","0.90","1.55","2.05","s1=1.35,s2=220.0,s3=0.30","marked dmgx1.18 ctrl[/145.0/] sup[//]","curse dmgx1.55 ctrl[//0.30] sup[//]","marked dmgx0.95 ctrl[//] sup[0.08//]"
"executioner","skill_executioner_q","debuff_zone","damage_amp","area_effect|debuff_zone","fear","","断罪时刻","1.00","1.50","2.06","s1=1.27,s2=230.0,s3=0.32","marked dmgx1.05 ctrl[//0.20] sup[//]","marked dmgx1.46 ctrl[//0.40] sup[//]","marked dmgx0.90 ctrl[//0.26] sup[//]"
"gambler","skill_gambler_q","debuff_zone","damage_amp","area_effect|buff_zone|debuff_zone","damage_amp|fear/attack_boost|cooldown_reduction|speed_boost","_roll_area_outcome","命运梭哈","1.12","1.40","1.88","s1=1.02,s2=245.0,s3=0.50","marked dmgx0.94 ctrl[//] sup[//1]","marked dmgx1.24 ctrl[//] sup[//2]","marked dmgx0.70 ctrl[//] sup[//1]"
"glacier","skill_glacier_q","wall_effect","","area_effect|debuff_zone","freeze|slow","","极夜冰环","1.05","1.40","1.90","s1=1.10,s2=240.0,s3=0.34","slow dmgx0.96 ctrl[//] sup[//]","freeze dmgx1.36 ctrl[//] sup[//]","slow dmgx0.80 ctrl[//] sup[//]"
"goo","skill_goo_q","debuff_zone","poison|slow","area_effect|debuff_zone|summon","slow","","裂变黏潮","1.02","1.41","1.88","s1=1.00,s2=255.0,s3=0.39","poison dmgx0.88 ctrl[//] sup[//]","poison dmgx1.18 ctrl[//] sup[//]","poison dmgx0.70 ctrl[//] sup[//]"
"herder","skill_herder_loop_refactored","debuff_zone|wall_effect","damage_amp","area_effect|debuff_zone","damage_amp|slow","_apply_herd_knockback|_apply_execute_sweep|_apply_herder_rewards","围猎号令","0.95","1.48","1.96","s1=1.18,s2=250.0,s3=0.30","marked dmgx1.00 ctrl[/180.0/] sup[//]","marked dmgx1.34 ctrl[/230.0/] sup[//]","marked dmgx0.82 ctrl[/80.0/] sup[//]"
"hunter","skill_hunter_q","debuff_zone","freeze|slow","area_effect|debuff_zone","damage_amp|freeze","","终猎季","0.95","1.51","1.99","s1=1.19,s2=255.0,s3=0.34","marked dmgx1.06 ctrl[//] sup[//]","marked dmgx1.50 ctrl[//] sup[//]","marked dmgx0.92 ctrl[//] sup[//]"
"illusionist","skill_illusionist_q","debuff_zone|wall_effect","damage_amp","debuff_zone|summon","fear","","镜域分身","0.94","1.49","1.96","s1=1.13,s2=255.0,s3=0.30","marked dmgx1.00 ctrl[//] sup[//]","marked dmgx1.34 ctrl[//] sup[//]","marked dmgx0.84 ctrl[//] sup[//]"
